Protein ID,Gene name,Hep G2,HepA,LX2,Liver,PorV,hHEP,hHSC,hHSC TWNT4,hKC,hLSEC,hLSEC SK Hep1,Protein name
Q96KR1,ZFR,1555000000,172545000,2139100000,732435000,278520000,664900000,1530600000,1339300000,730030000,2703200000,1992500000,Zinc finger RNA-binding protein
Q9Y5U8,MPC1,167690000,100500000,24947000,278735000,105600000,665120000,132010000,182860000,124484500,,110750000,Mitochondrial pyruvate carrier 1
P10412,HIST1H1E,748100000,76206000,,448810000,191190000,665400000,163950000,,979260000,536080000,,Histone H1.4
P23258,TUBG1,1436000000,461435000,1347700000,376800000,612750000,665490000,808480000,1220200000,756720000,894230000,915880000,Tubulin gamma-1 chain
G3V5N8,ZFYVE1,160400000,903230000,224810000,317760000,979180000,666000000,322220000,375250000,334820000,378300000,180950000,Zinc finger FYVE domain-containing protein 1
O15294,OGT,750450000,259955000,756940000,485860000,241855000,666700000,924010000,952800000,953310000,694930000,829400000,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit
Q96T23-2,RSF1,1401600000,1235200000,2176000000,941875000,1310300000,666790000,1032300000,1625800000,1203700000,6513600000,1106600000,Remodeling and spacing factor 1
Q9NR45,NANS,4019200000,998480000,3828100000,2950150000,904580000,666850000,1264900000,4261700000,2839400000,905260000,1826400000,Sialic acid synthase
Q9Y371,SH3GLB1,345440000,840960000,1497500000,445195000,828205000,666940000,1997000000,1136600000,1219700000,1966200000,1273800000,Endophilin-B1
H0YHG0,H0YHG0,3423300000,766890000,6096300000,1572150000,667505000,667400000,959410000,2125500000,1371500000,2444200000,3122200000,
O95786,DDX58,200670000,347570000,213930000,902960000,293570000,667930000,337250000,492350000,852850000,481980000,507510000,Probable ATP-dependent RNA helicase DDX58
Q9UP95,SLC12A4,565410000,299630000,607370000,270760000,428545000,668270000,2734700000,1405200000,466480000,1951000000,649380000,Solute carrier family 12 member 4
Q13488,TCIRG1,180780000,143205000,266350000,420620000,247805000,668660000,3092600000,2626500000,2692500000,3701600000,454880000,V-type proton ATPase 116 kDa subunit a isoform 3
A0A087X165,SRCIN1,151440000,116840500,109430000,473980000,152050000,669070000,164810000,41198000,56029000,147190000,103860000,SRC kinase signaling inhibitor 1
Q99797,MIPEP,1507900000,135820000,629810000,771190000,228465000,669070000,665570000,706520000,311440000,760730000,1085600000,Mitochondrial intermediate peptidase
E9PFK9,RABGEF1,626340000,741950000,1538400000,818605000,637245000,669310000,1754900000,910790000,1656000000,1060000000,1372500000,Rab5 GDP/GTP exchange factor
M0R0P8,MYO9B,864810000,742650000,1752100000,775685000,781830000,669340000,1647100000,1258400000,2016900000,1618600000,1497900000,Unconventional myosin-IXb
Q9NX62,IMPAD1,544170000,172635000,438000000,262360000,83931000,671250000,1407800000,753390000,383410000,2512000000,332710000,Inositol monophosphatase 3
Q9UBU9,NXF1,3715500000,309780000,2608200000,599825000,561305000,671610000,1053800000,1058400000,1448800000,1699600000,1970900000,Nuclear RNA export factor 1
P14324-2,FDPS,3151100000,724115000,2721600000,3182900000,770600000,671790000,617770000,1497600000,760770000,2171700000,3378000000,Farnesyl pyrophosphate synthase
Q7L1Q6,BZW1,2181100000,715230000,4336100000,1947050000,623100000,674060000,2067000000,2479500000,1486300000,1425700000,2334300000,Basic leucine zipper and W2 domain-containing protein 1
Q5T440,IBA57,384920000,142950000,55972000,466205000,127550000,675310000,80641000,112240000,303590000,150200000,168200000,"Putative transferase CAF17, mitochondrial"
Q8WTW3,COG1,1098900000,172410000,558330000,451280000,212475000,675850000,824660000,390910000,449380000,478820000,680170000,Conserved oligomeric Golgi complex subunit 1
Q6P1N0-2,CC2D1A,456400000,606520000,1169400000,628710000,733030000,675880000,785490000,809550000,604240000,690570000,654030000,Coiled-coil and C2 domain-containing protein 1A
Q9UBF2,COPG2,1660600000,451025000,2500500000,1143350000,646085000,675940000,1610000000,971610000,1414000000,1605300000,1641300000,Coatomer subunit gamma-2
P22792,CPN2,60706000,299220000,75612000,291785000,421530000,676100000,50733000,,98942000,50437000,113910000,Carboxypeptidase N subunit 2
Q8IXB1,DNAJC10,1324300000,356075000,594310000,265900000,385985000,677270000,1605100000,1503200000,561950000,3039500000,1345600000,DnaJ homolog subfamily C member 10
O75828,CBR3,145580000,1064630000,1412900000,473600000,1571000000,678260000,217640000,1658300000,207860000,187850000,762600000,Carbonyl reductase [NADPH] 3
O00232,PSMD12,2303400000,528535000,2204400000,1603450000,546015000,679740000,1469400000,1933800000,1378000000,1933700000,2900700000,26S proteasome non-ATPase regulatory subunit 12
Q66K14-2,TBC1D9B,494440000,483460000,880750000,722000000,573585000,682360000,763610000,807410000,835340000,507200000,643920000,TBC1 domain family member 9B
Q14738,PPP2R5D,1465600000,794060000,2040700000,779715000,893135000,682840000,795230000,1496900000,852220000,1185300000,1183400000,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform
O75718,CRTAP,791150000,142485000,710580000,225770000,171265000,683450000,4036900000,2131500000,309100000,2112800000,634820000,Cartilage-associated protein
Q9H3U1-2,UNC45A,1330500000,1782800000,1520500000,816685000,2031550000,683920000,1393700000,1073900000,1400900000,1747100000,1418400000,Protein unc-45 homolog A
Q9HBR0,SLC38A10,489990000,540300000,309300000,498965000,438095000,684280000,1303700000,1004800000,334930000,1138600000,317530000,Putative sodium-coupled neutral amino acid transporter 10
P23458,JAK1,439380000,169030000,2111300000,653775000,127875000,685050000,3129400000,1572600000,2107400000,4892000000,948010000,Tyrosine-protein kinase JAK1
Q53EL6-2,PDCD4,1400900000,251540000,805530000,1059500000,287935000,685140000,230080000,1479700000,1183900000,334500000,980320000,Programmed cell death protein 4
Q969Y2-3,GTPBP3,896720000,191460000,253530000,305505000,,685760000,83036000,143250000,185250000,116340000,574260000,"tRNA modification GTPase GTPBP3, mitochondrial"
B7ZAQ6-2,GPR89A,235540000,86083500,184570000,175865000,49005500,687770000,252750000,132980000,144040000,194990000,73399000,Golgi pH regulator A
Q92597,NDRG1,969840000,1091840000,1461700000,790770000,1074250000,688400000,593660000,882410000,544390000,691230000,432530000,Protein NDRG1
Q13409-3,DYNC1I2,2649200000,2147800000,2559100000,1444700000,2338100000,689110000,2752600000,3313900000,1807500000,2970400000,4192900000,Cytoplasmic dynein 1 intermediate chain 2
Q8IW45,CARKD,180930000,712245000,225660000,1277050000,541310000,689210000,280100000,280590000,409940000,201950000,215090000,ATP-dependent (S)-NAD(P)H-hydrate dehydratase
Q9HAB8,PPCS,769960000,140980000,894040000,1596900000,197505000,690270000,308040000,101100000,874770000,208800000,1412000000,Phosphopantothenate--cysteine ligase
E7END6,PROC,283420000,234715000,,332160000,168320000,690620000,26467000,43809000,44593000,,153580000,Vitamin K-dependent protein C
P82970,HMGN5,457200000,721875000,348520000,1414750000,583785000,690660000,444600000,766360000,699970000,,336090000,High mobility group nucleosome-binding domain-containing protein 5
Q9NQX3-2,GPHN,896940000,343970000,1029900000,1883550000,352965000,690780000,279350000,200140000,328600000,458910000,825820000,Gephyrin
A0A1B0GUZ7,EFR3A,282250000,570190000,226480000,617185000,730680000,690920000,1037000000,852280000,658650000,904380000,599490000,Protein EFR3 homolog A
P49903,SEPHS1,2790000000,471825000,2569600000,2022100000,507710000,691010000,733050000,2900600000,2239800000,416070000,2308700000,"Selenide, water dikinase 1"
Q53EP0,FNDC3B,1994600000,204840000,579800000,454535000,208425000,694180000,2459100000,2115300000,241920000,5057700000,924750000,Fibronectin type III domain-containing protein 3B
P17655,CAPN2,534630000,4228650000,6561800000,2823100000,4579900000,694450000,7570500000,7057400000,2682300000,6398900000,9401700000,Calpain-2 catalytic subunit
Q8TF05-2,PPP4R1,1689500000,676415000,3432600000,1031150000,696830000,695890000,1719700000,3133600000,1091400000,1776900000,2035400000,Serine/threonine-protein phosphatase 4 regulatory subunit 1
P26232-2,CTNNA2,155640000,202620000,30142000,79094000,136330000,695935000,1009010000,28193000,60340000,1478300000,53349000,Catenin alpha-2
Q96JY6,PDLIM2,142540000,3134200000,201820000,1294100000,1015320000,698030000,503830000,615110000,870520000,214760000,477970000,PDZ and LIM domain protein 2
Q9BRR6-2,ADPGK,770490000,115540000,506420000,299450000,152980000,698720000,1612200000,1025800000,1727500000,1524700000,869670000,ADP-dependent glucokinase
E9PB61,ALYREF,5893600000,592480000,4702700000,1707250000,634045000,699010000,1129600000,1998900000,1308800000,1622000000,4300500000,THO complex subunit 4
O43447,PPIH,1253400000,117092000,2555100000,349110000,117670000,699090000,728750000,550250000,3721100000,1264400000,1468900000,Peptidyl-prolyl cis-trans isomerase H
Q9Y5K6,CD2AP,1717000000,496925000,2081900000,1227150000,507800000,699420000,835100000,1034600000,635120000,791840000,2999600000,CD2-associated protein
Q15424,SAFB,3642800000,600940000,1991600000,1361350000,626805000,700670000,1850000000,1917300000,1224700000,5648300000,1965800000,Scaffold attachment factor B1
Q5HYI8,RABL3,367480000,78445000,429310000,321930000,69906500,701070000,626690000,323820000,171510000,821620000,240220000,Rab-like protein 3
O00471,EXOC5,533050000,371545000,707600000,465980000,403630000,701230000,1203400000,923070000,716720000,724470000,943020000,Exocyst complex component 5
Q9Y6G9,DYNC1LI1,1507900000,1257050000,2008300000,1303800000,1146450000,702360000,1533700000,1303800000,1174400000,2353600000,1446500000,Cytoplasmic dynein 1 light intermediate chain 1
F8WJN3,CPSF6,1214500000,275745000,1375000000,598630000,292925000,702630000,768550000,1044500000,821060000,1169500000,1622600000,Cleavage and polyadenylation specificity factor subunit 6
P23381,WARS,1648700000,2323500000,2597300000,3160900000,1909250000,702860000,4082000000,2232900000,8176800000,1414600000,6150300000,"Tryptophan--tRNA ligase, cytoplasmic"
A0A1B0GUU9,IGHM,101390000,27465500000,167480000,9559600000,22125000000,702980000,22073000,227350000,617340000,27453000,87119000,Ig mu chain C region
P08697,SERPINF2,502720000,5329050000,176050000,2152800000,4726400000,703690000,182710000,177770000,485620000,216205000,187990000,Alpha-2-antiplasmin
P35249,RFC4,2063000000,162845000,3748900000,152630000,133852500,703890000,805310000,697300000,885710000,1002300000,692740000,Replication factor C subunit 4
Q8IWX8,CHERP,1274800000,243120000,757420000,333660000,438020000,703960000,633450000,808170000,679230000,1470600000,1079200000,Calcium homeostasis endoplasmic reticulum protein
P11047,LAMC1,2924300000,47917500000,3044500000,4278650000,27065000000,704950000,3536400000,2163600000,426170000,4436700000,2599900000,Laminin subunit gamma-1
Q9NVT9,ARMC1,464380000,350490000,455210000,302565000,355145000,705230000,462200000,312410000,311650000,496740000,215900000,Armadillo repeat-containing protein 1
Q96PU8-9,QKI,764440000,355425000,1618900000,635060000,298955000,705950000,800700000,1380200000,789150000,1812400000,688490000,Protein quaking
P46063,RECQL,1254200000,651375000,4448700000,855475000,789170000,706200000,1151300000,1153900000,2253900000,2351900000,2684500000,ATP-dependent DNA helicase Q1
Q08AM6,VAC14,770040000,391325000,872040000,968960000,514160000,706500000,803720000,1936000000,997960000,798800000,2087300000,Protein VAC14 homolog
Q9NX47,5-Mar,217280000,30474500,162170000,169050000,31849500,706750000,482580000,312580000,156690000,415850000,232080000,E3 ubiquitin-protein ligase MARCH5
H0Y2S9,MPRIP,598800000,2059250000,2172900000,1758650000,2335100000,707800000,5607000000,3526300000,458840000,2267700000,2326700000,
Q7Z460-4,CLASP1,1577700000,447820000,1500600000,392215000,644795000,708790000,848780000,797250000,787500000,1250700000,972580000,CLIP-associating protein 1
P00491,PNP,2164700000,1544100000,2943700000,2791450000,1323850000,709030000,634730000,2662600000,3921500000,1334600000,2011900000,Purine nucleoside phosphorylase
O76062,TM7SF2,122060000,48576500,18190000,391730000,43567000,709910000,48532000,25894000,34464000,119020000,38682000,Delta(14)-sterol reductase
Q9Y315,DERA,779780000,249015000,452150000,652755000,244120000,710090000,358380000,482520000,972220000,490120000,165660000,Deoxyribose-phosphate aldolase
Q9BYD3,MRPL4,867330000,126145000,220110000,254060000,152435000,710630000,375310000,442730000,345080000,753060000,535570000,"39S ribosomal protein L4, mitochondrial"
Q8NC56,LEMD2,1721400000,1155950000,1053000000,765955000,1034890000,710970000,1676300000,1820500000,657920000,1753800000,2369400000,LEM domain-containing protein 2
Q9BQ95,ECSIT,350820000,168450000,115320000,240310000,182255000,711020000,300520000,512670000,209510000,380530000,348770000,"Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial"
O95394,PGM3,2539400000,614510000,4467600000,2939200000,575145000,711020000,1728000000,3147400000,340810000,803530000,1899300000,Phosphoacetylglucosamine mutase
Q9UNK0,STX8,337180000,246960000,436790000,377570000,264415000,711510000,735000000,671430000,501430000,697650000,533080000,Syntaxin-8
Q9Y5K5,UCHL5,1015500000,242065000,793350000,695805000,389260000,711660000,553590000,664340000,793390000,653280000,1429300000,Ubiquitin carboxyl-terminal hydrolase isozyme L5
P20042,EIF2S2,3517000000,902785000,3544700000,2368650000,1099100000,713500000,3478700000,2896900000,1672600000,2510100000,4852500000,Eukaryotic translation initiation factor 2 subunit 2
J3QT28,BUB3,2429000000,320040000,3335400000,747415000,357215000,714450000,1053900000,1655700000,1436800000,1907700000,2232300000,Mitotic checkpoint protein BUB3
O75116,ROCK2,6886200000,4743550000,2331900000,2159950000,4411150000,714750000,1773000000,2934100000,1334500000,2187900000,4314400000,Rho-associated protein kinase 2
Q9BXR0,QTRT1,2431900000,4723300000,711340000,1207000000,4283400000,715260000,1207980000,1491800000,919570000,463550000,1138900000,Queuine tRNA-ribosyltransferase
P19367,HK1,635580000,3997650000,9296200000,1608600000,4735300000,715270000,11678000000,15434000000,8213600000,13036000000,4915200000,Hexokinase-1
Q15042,RAB3GAP1,787200000,431610000,1027500000,594225000,460475000,716830000,1145000000,1210900000,736640000,832440000,1172600000,Rab3 GTPase-activating protein catalytic subunit
H0Y886,NDUFB5,447150000,268835000,166210000,552220000,548510000,717150000,301590000,425260000,486090000,969420000,301120000,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial"
Q6ZU65,UBN2,142540000,,205560000,,,717510000,518480000,197030000,399990000,1328310000,,Ubinuclein-2
Q68CZ2,TNS3,1667600000,1379800000,858450000,2135050000,903590000,717590000,544850000,2863900000,704710000,743560000,3494100000,Tensin-3
P54803,GALC,907720000,581890000,567520000,887140000,476385000,717720000,598830000,1679700000,1743000000,395100000,1145500000,Galactocerebrosidase
Q70E73,RAPH1,223430000,234125000,693070000,844130000,130780000,719130000,1009600000,183610000,161390000,877850000,762120000,Ras-associated and pleckstrin homology domains-containing protein 1
E7EW69,10-Sep,1137300000,1546200000,897060000,849200000,1249650000,719430000,1321300000,1023300000,503780000,2195300000,1955900000,Septin-10
O15127,SCAMP2,503490000,192135000,369840000,300475000,198985000,719570000,1323100000,301110000,894670000,806470000,297210000,Secretory carrier-associated membrane protein 2
P42677,RPS27,363630000,198550000,614250000,348585000,175680000,722210000,1105000000,692270000,397600000,1320000000,397390000,40S ribosomal protein S27
Q9UKS6,PACSIN3,1218000000,893140000,517820000,438165000,1088245000,723100000,467590000,502090000,260880000,290410000,674520000,Protein kinase C and casein kinase substrate in neurons protein 3
P16157-8,ANK1,414490000,8275900000,297760000,3195250000,9272300000,723430000,628330000,254350000,288130000,431720000,508040000,Ankyrin-1
P49790,NUP153,1887400000,346300000,2521800000,710485000,342405000,723620000,993190000,872890000,901170000,2524200000,2201600000,Nuclear pore complex protein Nup153
Q5EBL8,PDZD11,203950000,133715000,217020000,145460000,90573000,723860000,131140000,135310000,50293000,104830000,166790000,PDZ domain-containing protein 11
A0A1W2PPP5,GOSR2,200510000,76242000,250530000,265000000,89957500,724450000,626380000,336920000,287290000,632400000,119680000,Golgi SNAP receptor complex member 2
Q00653-4,NFKB2,1777900000,461575000,1818300000,798560000,590250000,724760000,1234000000,3318700000,545330000,1207500000,3488900000,Nuclear factor NF-kappa-B p100 subunit
Q9UKF6,CPSF3,1344000000,181105000,829340000,428285000,361680000,724880000,556680000,331360000,1101600000,1530000000,1437300000,Cleavage and polyadenylation specificity factor subunit 3
Q9BUJ2-2,HNRNPUL1,2548000000,576300000,3360400000,1492900000,659020000,725570000,1742500000,2646500000,1840700000,2365900000,3129900000,Heterogeneous nuclear ribonucleoprotein U-like protein 1
O76003,GLRX3,3786400000,639850000,1746600000,1130200000,768675000,725700000,621300000,2118700000,854390000,1129800000,1968200000,Glutaredoxin-3
Q9Y6X5,ENPP4,18084000,37153000,108540000,61584500,38383000,726490000,175560000,30278000,637750000,58280000,7848400,Bis(5-adenosyl)-triphosphatase ENPP4
J3KR44,OTUB1,1860100000,804290000,3230700000,1305550000,1060900000,728340000,1070300000,2364100000,1620400000,1092700000,2428800000,Ubiquitin thioesterase OTUB1
P01112,HRAS,422240000,422975000,956130000,349850000,292585000,729430000,997040000,746370000,505040000,2116700000,463280000,GTPase HRas
Q12846,STX4,530220000,465285000,546990000,758245000,517425000,729660000,1386200000,700230000,740530000,1130600000,1049900000,Syntaxin-4
A6NML8,DIAPH2,287290000,949355000,129750000,685855000,1050895000,730380000,597050000,753790000,671260000,688290000,906020000,Protein diaphanous homolog 2
Q8N5I4,DHRSX,19867000,121252000,37460000,141755000,100980000,730900000,213580000,149800000,139940000,186360000,96925000,Dehydrogenase/reductase SDR family member on chromosome X
Q15181,PPA1,7101800000,1566750000,3175400000,4860700000,1467050000,732300000,1255700000,5722200000,2026800000,1165400000,5717200000,Inorganic pyrophosphatase
Q14746-2,COG2,638310000,216120000,416840000,369955000,164290000,732540000,664130000,673370000,496550000,330610000,645880000,Conserved oligomeric Golgi complex subunit 2
P49916-3,LIG3,2475500000,359910000,1624700000,432595000,314565000,733790000,751600000,756650000,937910000,1092000000,1225900000,DNA ligase 3
O94903,PROSC,876550000,643625000,824230000,2277600000,923115000,734270000,234200000,675430000,812280000,274790000,736730000,Proline synthase co-transcribed bacterial homolog protein
Q02952,AKAP12,994110000,9582400000,18072000000,2863800000,13317000000,734550000,12618000000,1273500000,1689400000,14279000000,683020000,A-kinase anchor protein 12
Q9UMR2,DDX19B,2089800000,1123500000,1721400000,2007750000,1397000000,734790000,928550000,1592700000,994230000,1172700000,2257400000,ATP-dependent RNA helicase DDX19B
Q13825,AUH,223520000,52269000,49509000,502220000,73705000,734970000,133040000,153710000,278000000,65103000,42090000,"Methylglutaconyl-CoA hydratase, mitochondrial"
Q9UMX5,NENF,275750000,449510000,713500000,947470000,686160000,735450000,695070000,741710000,510040000,317800000,789480000,Neudesin
P10768,ESD,4231900000,8132950000,4328900000,8992150000,10059450000,737180000,1370000000,3994300000,1726800000,1414300000,4815300000,S-formylglutathione hydrolase
Q9NVP1,DDX18,3683500000,89353500,2111700000,430210000,139495000,737690000,1110300000,1043200000,733150000,2329400000,2457800000,ATP-dependent RNA helicase DDX18
A0A0A0MRJ7,F5,183510000,465405000,202220000,1095200000,938855000,738150000,81420000,255850000,203610000,140620000,192020000,Coagulation factor V
Q13608,PEX6,141600000,50979500,110390000,211645000,67178500,740120000,264620000,58241000,139220000,302150000,269270000,Peroxisome assembly factor 2
X6R3N0,SLC27A3,109560000,431255000,78935000,619390000,366920000,740170000,224360000,200620000,655680000,929200000,57653000,Long-chain fatty acid transport protein 3
Q5TZA2,CROCC,984760000,1398650000,1306100000,1524500000,1489750000,741860000,894820000,1704000000,1685000000,1490200000,2047600000,Rootletin
Q8TDD1,DDX54,2942100000,619180000,1587300000,512530000,273680000,742090000,1714400000,1061900000,506510000,2479100000,2743500000,ATP-dependent RNA helicase DDX54
Q9NXC5,MIOS,136820000,133625000,93498000,521310000,111865000,742270000,198200000,246680000,443400000,311980000,456090000,WD repeat-containing protein mio
E9PHV5,SSFA2,353540000,175920000,425770000,870380000,410250000,742380000,712370000,611760000,354460000,1289100000,1001900000,Sperm-specific antigen 2
O14828,SCAMP3,909550000,415325000,1711800000,751405000,407555000,742410000,3058100000,2132200000,849660000,3458700000,1732000000,Secretory carrier-associated membrane protein 3
Q9BTX7,TTPAL,49945000,105600000,48609000,186065000,57413000,743240000,135200000,84314000,138980000,74603000,16940000,Alpha-tocopherol transfer protein-like
Q96A49,SYAP1,625510000,160485000,747990000,582220000,249915000,743540000,644130000,446270000,248060000,798070000,544980000,Synapse-associated protein 1
Q6IAA8,LAMTOR1,229730000,257315000,335030000,553525000,310805000,744060000,1782900000,998180000,1323600000,1171900000,642770000,Ragulator complex protein LAMTOR1
H7BXH2,PPP6R3,901790000,637700000,2156200000,790250000,879910000,744320000,865940000,1299100000,760530000,1077800000,1488100000,Serine/threonine-protein phosphatase 6 regulatory subunit 3
P30481,HLA-B,314540000,213115000,721130000,1844700000,280515000,744670000,1015800000,792200000,2086600000,1002400000,6265000000,"HLA class I histocompatibility antigen, B-44 alpha chain"
E7EQR4,EZR,3542100000,2270250000,10574000000,5018200000,3283550000,745430000,1369100000,2222900000,4600100000,2000600000,6422300000,Ezrin
Q9BR76,CORO1B,1522800000,3971100000,3173800000,3875200000,2986400000,745670000,2522000000,4417700000,4486800000,1887500000,3998600000,Coronin-1B
Q9H444,CHMP4B,2001900000,2553200000,5939900000,1485800000,2017450000,746680000,1307200000,2932500000,1557600000,1666900000,2459000000,Charged multivesicular body protein 4b
P28070,PSMB4,2432200000,731930000,1807900000,2013850000,855715000,746990000,1562200000,1474800000,2077400000,1108800000,2522000000,Proteasome subunit beta type-4
C9JIF9,APEH,2282400000,1357300000,1774300000,4065500000,1046600000,747150000,723290000,1544100000,2133300000,653080000,1718000000,Acylamino-acid-releasing enzyme
Q8N1B4,VPS52,596660000,540685000,752650000,638350000,675425000,747160000,881740000,1002200000,909750000,964030000,991510000,Vacuolar protein sorting-associated protein 52 homolog
Q5R3I4,TTC38,1769400000,139300000,199950000,4505900000,277925000,747390000,66736000,239490000,327180000,68211000,368280000,Tetratricopeptide repeat protein 38
P62995,TRA2B,2363100000,324440000,1968700000,652865000,247705000,747420000,1260500000,2230400000,1431800000,722190000,2021700000,Transformer-2 protein homolog beta
Q9UJU6,DBNL,1171200000,2571450000,3129800000,3048400000,2857500000,747590000,1796800000,3011800000,3481200000,1757100000,3560400000,Drebrin-like protein
P07093-2,SERPINE2,247730000,1173520000,424440000,330875000,1130450000,748750000,5662700000,1771800000,464240000,433320000,700370000,Glia-derived nexin
Q9Y697,NFS1,1915500000,314090000,498320000,677860000,460650000,748770000,599110000,463620000,546550000,700420000,677570000,"Cysteine desulfurase, mitochondrial"
P82094,TMF1,1426700000,1274200000,2961600000,926500000,1087690000,749050000,1445600000,1381800000,1172400000,5614100000,1508100000,TATA element modulatory factor
Q15020,SART3,3502800000,664895000,3733200000,1568250000,681170000,749160000,1687800000,1704000000,1780300000,2628100000,2952200000,Squamous cell carcinoma antigen recognized by T-cells 3
O60220,TIMM8A,455340000,85730000,107980000,1028080000,90686500,749360000,158800000,360550000,253695000,145957000,511810000,Mitochondrial import inner membrane translocase subunit Tim8 A
P06213-2,INSR,751910000,617610000,313480000,599840000,510680000,749600000,168810000,279780000,277080000,332390000,304030000,Insulin receptor
A0A0A0MTN0,CUL2,1108100000,400885000,1510500000,679735000,456445000,750450000,617040000,1448900000,952980000,462280000,915680000,Cullin-2
Q8TEH3,DENND1A,343470000,212410000,205750000,240300000,259535000,750640000,152320000,173250000,399800000,295550000,159130000,DENN domain-containing protein 1A
Q96S55-2,WRNIP1,1874500000,554850000,957600000,332280000,238410000,751700000,419030000,307860000,591650000,595520000,1173500000,ATPase WRNIP1
P05455,SSB,18361000000,3319600000,11295000000,5264950000,3415750000,751870000,4540000000,11729000000,5314800000,4661600000,23509000000,Lupus La protein
B3KS98,EIF3H,2111600000,398975000,1600000000,1166650000,494610000,752210000,1861000000,1544400000,1323400000,1419200000,1995300000,Eukaryotic translation initiation factor 3 subunit H
Q9Y2U8,LEMD3,1005600000,753970000,903060000,479565000,620080000,752230000,1611600000,854550000,684510000,2973000000,1126600000,Inner nuclear membrane protein Man1
C9JFR7,CYCS,1137900000,838230000,1346600000,1428400000,1448350000,752910000,515650000,1049300000,877620000,260560000,2398300000,Cytochrome c
Q9GZT6-2,CCDC90B,321440000,220595000,331800000,538230000,244205000,753120000,537590000,348460000,392760000,1251800000,576530000,"Coiled-coil domain-containing protein 90B, mitochondrial"
P53582,METAP1,3637000000,1664250000,2917500000,1071350000,1282800000,753800000,2083800000,3238100000,1493900000,945790000,2585800000,Methionine aminopeptidase 1
P20339-2,RAB5A,313120000,334510000,543520000,329510000,303260000,756460000,934230000,690930000,467610000,894580000,286890000,Ras-related protein Rab-5A
P14780,MMP9,26380000,192685000,82369000,312695000,927480000,756840000,44779000,35769000,12330000000,18614000,66394000,Matrix metalloproteinase-9
P61088,UBE2N,3676200000,3354900000,3963300000,2734700000,3577500000,756890000,1096200000,3871800000,2007900000,875810000,3075600000,Ubiquitin-conjugating enzyme E2 N
H3BP28,COQ7,248280000,74019000,52380000,445445000,104902500,757910000,38482000,38937000,510860000,128450000,38895000,"5-demethoxyubiquinone hydroxylase, mitochondrial"
A0AVT1,UBA6,2120400000,892895000,4612200000,1836350000,1009345000,758450000,947830000,2362000000,2180500000,865120000,2501000000,Ubiquitin-like modifier-activating enzyme 6
P46087,NOP2,2387900000,82457500,1559100000,461085000,104410000,758480000,1807900000,1188600000,954080000,4025500000,2795200000,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase
P48681,NES,746850000,4071800000,458930000,1933800000,9478750000,758740000,1083700000,3254600000,694030000,28692000000,369890000,Nestin
Q92804-2,TAF15,2680500000,697310000,1467300000,1330450000,568410000,760540000,1302300000,1516500000,876760000,2365300000,2260500000,TATA-binding protein-associated factor 2N
Q15785,TOMM34,2641200000,308750000,1846200000,474680000,248835000,761140000,607250000,676420000,345940000,1343900000,1397100000,Mitochondrial import receptor subunit TOM34
Q9UL25,RAB21,887060000,1043025000,1284700000,855705000,770695000,762230000,1810900000,1061900000,679340000,591580000,996270000,Ras-related protein Rab-21
P20338,RAB4A,1199900000,581565000,366840000,636640000,594800000,762400000,903610000,623060000,854040000,486690000,528270000,Ras-related protein Rab-4A
O94888,UBXN7,4438200000,1037300000,8316100000,1775700000,1493000000,763550000,1796500000,1993900000,2753600000,1131100000,4384800000,UBX domain-containing protein 7
O95425,SVIL,1386900000,5612100000,640460000,1175550000,6648250000,763990000,2335300000,2068500000,855050000,1694000000,3476700000,Supervillin
Q9H173,SIL1,214290000,128140000,260360000,145720000,92271500,764680000,521720000,305890000,130530000,352250000,204000000,Nucleotide exchange factor SIL1
Q8TCU6,PREX1,384190000,280335000,327650000,568465000,272080000,765620000,450230000,313920000,5732500000,99010000,1691200000,"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein"
O15254,ACOX3,587480000,227465000,756110000,1150650000,251585000,765680000,1338900000,792130000,1048100000,1016100000,506340000,Peroxisomal acyl-coenzyme A oxidase 3
Q14344,GNA13,1255400000,1155350000,1515800000,1077795000,1123600000,765880000,927290000,1560100000,2224200000,1889600000,1813400000,Guanine nucleotide-binding protein subunit alpha-13
G3V1Y8,ASPG,33404000,88487000,23090000,379350000,96239000,766150000,54712000,21335000,28404000,22045000,57192000,60 kDa lysophospholipase
P43897,TSFM,1715200000,162695000,862900000,654965000,182390000,766640000,414090000,791460000,504300000,369340000,1498200000,"Elongation factor Ts, mitochondrial"
Q13546,RIPK1,362640000,358890000,633400000,621045000,476140000,768220000,604960000,564760000,629130000,549590000,704950000,Receptor-interacting serine/threonine-protein kinase 1
O43290,SART1,1822000000,622030000,2769600000,805555000,548915000,768490000,1275900000,1189300000,1174500000,3004300000,1920000000,U4/U6.U5 tri-snRNP-associated protein 1
Q13501,SQSTM1,405160000,260995000,1308900000,566285000,316700000,769750000,1962900000,1176800000,428930000,1566400000,1992700000,Sequestosome-1
