Protein,cluster_anchorprotein,int_mean,Symbol,Genename,ENSEMBL
Q8BLF1,4,2266.254427546647,Nceh1,neutral cholesterol ester hydrolase 1,ENSMUSG00000027698
Q8BM55,4,1503.2891278428729,Tmem214,transmembrane protein 214,ENSMUSG00000038828
Q8BMA6,4,3286.301188676848,Srp68,signal recognition particle 68,ENSMUSG00000020780
Q8BMF4,4,3415.3521768722712,Dlat,dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex),ENSMUSG00000000168
Q8BMJ2,4,1759.9895292934978,Lars,leucyl-tRNA synthetase,ENSMUSG00000024493
Q8BMJ3,4,3846.7325423249213,Eif1ax,"eukaryotic translation initiation factor 1A, X-linked",ENSMUSG00000067194
Q8BML9,4,1707.8242778454053,Qars,glutaminyl-tRNA synthetase,ENSMUSG00000032604
Q8BMS1,4,7517.599120706659,Hadha,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha,ENSMUSG00000025745
Q8BP47,4,3076.2343663984284,Nars,asparaginyl-tRNA synthetase,ENSMUSG00000024587
Q8BP67,4,12222.073052941583,Rpl24,ribosomal protein L24,ENSMUSG00000098274
Q8BQ46,4,6636.181600773634,Taf15,TATA-box binding protein associated factor 15,ENSMUSG00000020680
Q8BRF7,4,1316.423958732242,Scfd1,Sec1 family domain containing 1,ENSMUSG00000020952
Q8BSE0,4,5321.4802695942035,Rmdn2,regulator of microtubule dynamics 2,ENSMUSG00000036368
Q8BSY0,4,1542.24632726604,Asph,aspartate-beta-hydroxylase,ENSMUSG00000028207
Q8BT60,4,2974.823467887555,Cpne3,copine III,ENSMUSG00000028228
Q8BTM8,4,1994.6289981415023,Flna,"filamin, alpha",ENSMUSG00000031328
Q8BTY1,4,2531.528048309908,Kyat1,kynurenine aminotransferase 1,ENSMUSG00000039648
Q8BU14,4,3522.9871830035963,Sec62,SEC62 homolog (S. cerevisiae),ENSMUSG00000027706
Q8BU30,4,2278.69828240161,Iars,isoleucine-tRNA synthetase,ENSMUSG00000037851
Q8BVA5,4,894.7478356344018,Ldah,lipid droplet associated hydrolase,ENSMUSG00000037669
Q8BVE3,4,1516.714906594688,Atp6v1h,"ATPase, H+ transporting, lysosomal V1 subunit H",ENSMUSG00000033793
Q8BVI4,4,5053.123453442515,Qdpr,quinoid dihydropteridine reductase,ENSMUSG00000015806
Q8BVY0,4,1251.1068207915828,Rsl1d1,ribosomal L1 domain containing 1,ENSMUSG00000005846
Q8BW75,4,2986.2319659066634,Maob,monoamine oxidase B,ENSMUSG00000040147
Q8BWF0,4,2901.86078229316,Aldh5a1,"aldhehyde dehydrogenase family 5, subfamily A1",ENSMUSG00000035936
Q8BWN8,4,1413.1603854581065,Acot4,acyl-CoA thioesterase 4,ENSMUSG00000052392
Q8BWP5,4,3025.575565967291,Ttpa,tocopherol (alpha) transfer protein,ENSMUSG00000073988
Q8BWQ1,4,4792.303666907884,Ugt2a3,"UDP glucuronosyltransferase 2 family, polypeptide A3",ENSMUSG00000035780
Q8BWT1,4,14082.614489809554,Acaa2,acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase),ENSMUSG00000036880
Q8BWU8,4,2888.368996375123,Etnppl,ethanolamine phosphate phospholyase,ENSMUSG00000019232
Q8BWW4,4,1443.557170388241,Larp4,"La ribonucleoprotein domain family, member 4",ENSMUSG00000023025
Q8BWY3,4,2522.7738749029404,Etf1,eukaryotic translation termination factor 1,ENSMUSG00000024360
Q8BYK6,4,1589.9182889917588,Ythdf3,YTH N6-methyladenosine RNA binding protein 3,ENSMUSG00000047213
Q8BZF8,4,6541.284350456862,Pgm5,phosphoglucomutase 5,ENSMUSG00000041731
Q8C0C7,4,1587.3530607390671,Farsa,"phenylalanyl-tRNA synthetase, alpha subunit",ENSMUSG00000003808
Q8C0Q9,4,1191.6553701578762,Rapgef5,Rap guanine nucleotide exchange factor (GEF) 5,ENSMUSG00000041992
Q8C165,4,3537.779170059461,Pm20d1,peptidase M20 domain containing 1,ENSMUSG00000042251
Q8C196,4,31696.81333941359,Cps1,carbamoyl-phosphate synthetase 1,ENSMUSG00000025991
Q8C1B7,4,3600.597223175011,Septin11,septin 11,ENSMUSG00000058013
Q8C2Q3,4,2026.1700282492432,Rbm14,RNA binding motif protein 14,ENSMUSG00000006456
Q8C5H8,4,2278.35760982273,Nadk2,"NAD kinase 2, mitochondrial",ENSMUSG00000022253
Q8C650,4,1989.437851918599,Septin10,septin 10,ENSMUSG00000019917
Q8C6B0,4,11741.092527477998,Mettl7a1,methyltransferase like 7A1,ENSMUSG00000054619
Q8C7E7,4,2712.424331267942,Stbd1,starch binding domain 1,ENSMUSG00000047963
Q8C7X2,4,1642.0032202950524,Emc1,ER membrane protein complex subunit 1,ENSMUSG00000078517
Q8C845,4,2747.245430297746,Efhd2,EF hand domain containing 2,ENSMUSG00000040659
Q8CAQ8,4,6024.570878024582,Immt,"inner membrane protein, mitochondrial",ENSMUSG00000052337
Q8CAY6,4,5571.371763219408,Acat2,acetyl-Coenzyme A acetyltransferase 2,ENSMUSG00000023832
Q8CC86,4,1273.0887107798017,Naprt,nicotinate phosphoribosyltransferase,ENSMUSG00000022574
Q8CC88,4,2268.538166422996,Vwa8,von Willebrand factor A domain containing 8,ENSMUSG00000058997
Q8CCJ3,4,1707.2560378866372,Ufl1,UFM1 specific ligase 1,ENSMUSG00000040359
Q8CDN6,4,2169.9802204476246,Txnl1,thioredoxin-like 1,ENSMUSG00000024583
Q8CFX1,4,3324.6699503290524,H6pd,hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase),ENSMUSG00000028980
Q8CG76,4,4408.620143831831,Akr7a5,"aldo-keto reductase family 7, member A5 (aflatoxin aldehyde reductase)",ENSMUSG00000028743
Q8CGB9,4,1554.3191892575792,NA,NA,NA
Q8CGC7,4,2568.7004166778743,Eprs,glutamyl-prolyl-tRNA synthetase,ENSMUSG00000026615
Q8CGK3,4,2628.284309988789,Lonp1,"lon peptidase 1, mitochondrial",ENSMUSG00000041168
Q8CHP5,4,7234.223702841146,Pym1,"PYM homolog 1, exon junction complex associated factor",ENSMUSG00000064030
Q8CHQ9,4,8667.895961600032,Nat8f2,N-acetyltransferase 8 (GCN5-related) family member 2,ENSMUSG00000033634
Q8CHR6,4,2481.135121064358,Dpyd,dihydropyrimidine dehydrogenase,ENSMUSG00000033308
Q8CHT0,4,5998.928062776261,Aldh4a1,"aldehyde dehydrogenase 4 family, member A1",ENSMUSG00000028737
Q8CI51,4,1595.9072811370277,Pdlim5,PDZ and LIM domain 5,ENSMUSG00000028273
Q8CIB5,4,2673.516203029748,Fermt2,fermitin family member 2,ENSMUSG00000037712
Q8CIE6,4,2784.144420964039,Copa,coatomer protein complex subunit alpha,ENSMUSG00000026553
Q8CIH9,4,1920.1585592974918,Ppat,phosphoribosyl pyrophosphate amidotransferase,ENSMUSG00000029246
Q8JZK9,4,1698.8394442500003,Hmgcs1,3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1,ENSMUSG00000093930
Q8JZN5,4,1980.1333048950414,Acad9,"acyl-Coenzyme A dehydrogenase family, member 9",ENSMUSG00000027710
Q8JZQ2,4,1768.6618979161344,Afg3l2,AFG3-like AAA ATPase 2,ENSMUSG00000024527
Q8JZQ9,4,2727.558755950829,Eif3b,"eukaryotic translation initiation factor 3, subunit B",ENSMUSG00000056076
Q8JZR0,4,3827.2755974111396,Acsl5,acyl-CoA synthetase long-chain family member 5,ENSMUSG00000024981
Q8JZU2,4,4417.399619525084,Slc25a1,"solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1",ENSMUSG00000003528
Q8JZY2,4,3186.089728686373,Commd10,COMM domain containing 10,ENSMUSG00000042705
Q8JZZ0,4,2796.540318339944,Ugt3a2,"UDP glycosyltransferases 3 family, polypeptide A2",ENSMUSG00000049152
Q8K010,4,1767.5402007116065,Oplah,5-oxoprolinase (ATP-hydrolysing),ENSMUSG00000022562
Q8K0C4,4,3244.06120538919,Cyp51,"cytochrome P450, family 51",ENSMUSG00000001467
Q8K0D5,4,1540.1465200873613,Gfm1,"G elongation factor, mitochondrial 1",ENSMUSG00000027774
Q8K0E8,4,3816.150372367659,Fgb,fibrinogen beta chain,ENSMUSG00000033831
Q8K154,4,9002.240433918267,Ugt2b34,"UDP glucuronosyltransferase 2 family, polypeptide B34",ENSMUSG00000029260
Q8K157,4,1441.9744142167,Galm,galactose mutarotase,ENSMUSG00000035473
Q8K169,4,12751.80707649232,Ugt2b5,"UDP glucuronosyltransferase 2 family, polypeptide B5",ENSMUSG00000054630
Q8K183,4,1549.0051575460532,Pdxk,"pyridoxal (pyridoxine, vitamin B6) kinase",ENSMUSG00000032788
Q8K1M6,4,1251.8606284829818,Dnm1l,dynamin 1-like,ENSMUSG00000022789
Q8K1Z0,4,2700.852737215435,Coq9,coenzyme Q9,ENSMUSG00000031782
Q8K2B3,4,7353.9560852505065,Sdha,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)",ENSMUSG00000021577
Q8K2C9,4,3820.0684927928655,Hacd3,3-hydroxyacyl-CoA dehydratase 3,ENSMUSG00000033629
Q8K310,4,2479.4051109103602,Matr3,matrin 3,ENSMUSG00000037236
Q8K370,4,1768.4433556450908,Acad10,"acyl-Coenzyme A dehydrogenase family, member 10",ENSMUSG00000029456
Q8K3J1,4,4738.131053133678,Ndufs8,NADH:ubiquinone oxidoreductase core subunit S8,ENSMUSG00000059734
Q8K3K7,4,1540.482806583063,Agpat2,"1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)",ENSMUSG00000026922
Q8K3M1,4,2447.7894612279388,Rdh16f2,RDH16 family member 2,ENSMUSG00000074639
Q8K411,4,1446.7704122122293,Pitrm1,pitrilysin metallepetidase 1,ENSMUSG00000021193
Q8K441,4,1470.1117642886459,Abca6,"ATP-binding cassette, sub-family A (ABC1), member 6",ENSMUSG00000044749
Q8K4H1,4,1732.0576450677077,Afmid,arylformamidase,ENSMUSG00000017718
Q8K4Z5,4,1544.9778251551822,Sf3a1,"splicing factor 3a, subunit 1",ENSMUSG00000002129
Q8K5B2,4,2178.639836423411,Mcfd2,multiple coagulation factor deficiency 2,ENSMUSG00000024150
Q8K5C8,4,5337.65546298623,Rdh9,retinol dehydrogenase 9,ENSMUSG00000056148
Q8QZR3,4,2850.2069048864437,Ces2a,carboxylesterase 2A,ENSMUSG00000055730
Q8QZR5,4,1901.650004463914,Gpt,"glutamic pyruvic transaminase, soluble",ENSMUSG00000022546
Q8QZS1,4,3751.6468688644477,Hibch,3-hydroxyisobutyryl-Coenzyme A hydrolase,ENSMUSG00000041426
Q8QZT1,4,9243.891514600631,Acat1,acetyl-Coenzyme A acetyltransferase 1,ENSMUSG00000032047
Q8QZY1,4,2565.232507902113,Eif3l,"eukaryotic translation initiation factor 3, subunit L",ENSMUSG00000033047
Q8R016,4,1854.6387157089046,Blmh,bleomycin hydrolase,ENSMUSG00000020840
Q8R050,4,1745.7045321277885,Gspt1,G1 to S phase transition 1,ENSMUSG00000062203
Q8R081,4,4021.5153326677287,Hnrnpl,heterogeneous nuclear ribonucleoprotein L,ENSMUSG00000015165
Q8R084,4,8326.813113914026,Ugt2b1,"UDP glucuronosyltransferase 2 family, polypeptide B1",ENSMUSG00000035836
Q8R086,4,1887.1049331672289,Suox,sulfite oxidase,ENSMUSG00000049858
Q8R0F8,4,1430.564269221363,Fahd1,fumarylacetoacetate hydrolase domain containing 1,ENSMUSG00000045316
Q8R0F9,4,4441.822732302039,Sec14l4,SEC14-like lipid binding 4,ENSMUSG00000019368
Q8R0N6,4,2130.5714962067777,Adhfe1,"alcohol dehydrogenase, iron containing, 1",ENSMUSG00000025911
Q8R0W0,4,1271.7813613500196,Eppk1,epiplakin 1,NA
Q8R0X7,4,3015.796635647681,Sgpl1,sphingosine phosphate lyase 1,ENSMUSG00000020097
Q8R0Y6,4,10495.17983502428,Aldh1l1,"aldehyde dehydrogenase 1 family, member L1",ENSMUSG00000030088
Q8R146,4,2456.6362841781583,Apeh,acylpeptide hydrolase,ENSMUSG00000032590
Q8R164,4,3341.667989841399,Bphl,"biphenyl hydrolase-like (serine hydrolase, breast epithelial mucin-associated antigen)",ENSMUSG00000038286
Q8R1B4,4,2447.6973782043806,Eif3c,"eukaryotic translation initiation factor 3, subunit C",ENSMUSG00000030738
Q8R1G2,4,2715.858118802777,Cmbl,carboxymethylenebutenolidase-like (Pseudomonas),ENSMUSG00000022235
Q8R1I1,4,9483.8999412053,Uqcr10,"ubiquinol-cytochrome c reductase, complex III subunit X",ENSMUSG00000059534
Q8R1Q8,4,949.5043734562194,Dync1li1,dynein cytoplasmic 1 light intermediate chain 1,ENSMUSG00000032435
Q8R1V4,4,3005.2258914895847,Tmed4,transmembrane p24 trafficking protein 4,ENSMUSG00000004394
Q8R2K3,4,1276.8584798392465,Ssbp1,single-stranded DNA binding protein 1,ENSMUSG00000029911
Q8R2Y8,4,1839.3470054976021,Ptrh2,peptidyl-tRNA hydrolase 2,ENSMUSG00000072582
Q8R317,4,784.0068163140044,Ubqln1,ubiquilin 1,ENSMUSG00000005312
Q8R404,4,14258.398194601727,Micos13,mitochondrial contact site and cristae organizing system subunit 13,ENSMUSG00000049760
Q8R4H7,4,1597.806514467644,Nags,N-acetylglutamate synthase,ENSMUSG00000048217
Q8R4N0,4,2977.3786789582123,Clybl,citrate lyase beta like,ENSMUSG00000025545
Q8R5I6,4,23037.21235842865,Gstm4,"glutathione S-transferase, mu 4",ENSMUSG00000027890
Q8R5L1,4,4990.920691705707,C1qbp,"complement component 1, q subcomponent binding protein",ENSMUSG00000018446
Q8VBT2,4,1435.6684967562783,Sds,serine dehydratase,ENSMUSG00000029597
Q8VBW8,4,5085.180844741764,Ttc36,tetratricopeptide repeat domain 36,ENSMUSG00000039438
Q8VBZ3,4,1598.718623347898,Clptm1,cleft lip and palate associated transmembrane protein 1,ENSMUSG00000002981
Q8VC12,4,5265.597440912215,Uroc1,urocanase domain containing 1,ENSMUSG00000034456
Q8VC28,4,936.2600761717252,Akr1c13,"aldo-keto reductase family 1, member C13",ENSMUSG00000021213
Q8VC30,4,4550.566024489738,Tkfc,"triokinase, FMN cyclase",ENSMUSG00000034371
Q8VC97,4,803.4729657972172,Upb1,"ureidopropionase, beta",ENSMUSG00000033427
Q8VCA8,4,1467.4186455528234,Scrn2,secernin 2,ENSMUSG00000020877
Q8VCB3,4,2003.7629966529632,Gys2,glycogen synthase 2,ENSMUSG00000030244
Q8VCC1,4,1444.865703530613,Hpgd,hydroxyprostaglandin dehydrogenase 15 (NAD),ENSMUSG00000031613
Q8VCC2,4,3611.612198491882,Ces1g,carboxylesterase 1G,ENSMUSG00000057074
Q8VCF0,4,1512.9426274842433,Mavs,mitochondrial antiviral signaling protein,ENSMUSG00000037523
Q8VCH0,4,5191.160202542043,Acaa1b,acetyl-Coenzyme A acyltransferase 1B,ENSMUSG00000010651
Q8VCI5,4,1695.444747166415,Pex19,peroxisomal biogenesis factor 19,ENSMUSG00000003464
Q8VCM7,4,4391.794740105132,Fgg,fibrinogen gamma chain,ENSMUSG00000033860
Q8VCM8,4,4342.37556864047,Ncln,nicalin,ENSMUSG00000020238
Q8VCN5,4,5381.865936834962,Cth,cystathionase (cystathionine gamma-lyase),ENSMUSG00000028179
Q8VCR7,4,3840.726301555663,NA,NA,NA
Q8VCT3,4,5642.255847882874,Rnpep,arginyl aminopeptidase (aminopeptidase B),ENSMUSG00000041926
Q8VCT4,4,9717.18511246514,Ces1d,carboxylesterase 1D,ENSMUSG00000056973
Q8VCU1,4,1951.2440288446376,Ces3b,carboxylesterase 3B,ENSMUSG00000062181
Q8VCW8,4,5328.756238471557,Acsf2,acyl-CoA synthetase family member 2,ENSMUSG00000076435
Q8VCX1,4,1602.889538071827,Akr1d1,"aldo-keto reductase family 1, member D1",ENSMUSG00000038641
Q8VCZ9,4,4545.890336148557,Prodh2,proline dehydrogenase (oxidase) 2,ENSMUSG00000036892
Q8VDD5,4,3159.4120774492644,Myh9,"myosin, heavy polypeptide 9, non-muscle",ENSMUSG00000022443
Q8VDG5,4,5215.776068727189,Ppcs,phosphopantothenoylcysteine synthetase,ENSMUSG00000028636
Q8VDG7,4,1053.2720932700029,Pafah2,platelet-activating factor acetylhydrolase 2,ENSMUSG00000037366
Q8VDJ3,4,3461.2290493686364,Hdlbp,high density lipoprotein (HDL) binding protein,ENSMUSG00000034088
Q8VDK1,4,2333.1280010573864,Nit1,nitrilase 1,ENSMUSG00000013997
Q8VDM4,4,2588.0491283256474,Psmd2,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 2",ENSMUSG00000006998
Q8VDN2,4,3890.802339980379,Atp1a1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",ENSMUSG00000033161
Q8VDQ1,4,2316.559518387588,Ptgr2,prostaglandin reductase 2,ENSMUSG00000072946
Q8VE22,4,2820.065890455512,Mrps23,mitochondrial ribosomal protein S23,ENSMUSG00000023723
Q8VE97,4,2175.8744941907557,NA,NA,NA
Q8VEK0,4,3360.0538682196725,Tmem30a,transmembrane protein 30A,ENSMUSG00000032328
Q8VEK3,4,9012.891786864737,Hnrnpu,heterogeneous nuclear ribonucleoprotein U,ENSMUSG00000039630
Q8VEM8,4,10114.599182861239,Slc25a3,"solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3",ENSMUSG00000061904
Q8VH51,4,1737.9757698402686,Rbm39,RNA binding motif protein 39,ENSMUSG00000027620
Q8VHE0,4,2774.747400775419,Sec63,SEC63-like (S. cerevisiae),ENSMUSG00000019802
Q8VHM5,4,1340.4802408287455,Hnrnpr,heterogeneous nuclear ribonucleoprotein R,ENSMUSG00000066037
Q8VI47,4,1962.046772434668,Abcc2,"ATP-binding cassette, sub-family C (CFTR/MRP), member 2",ENSMUSG00000025194
Q8VIJ6,4,3748.022847564782,Sfpq,splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated),ENSMUSG00000028820
Q91V01,4,3113.8737645870738,Lpcat3,lysophosphatidylcholine acyltransferase 3,ENSMUSG00000004270
Q91V41,4,2935.9188215320423,Rab14,"RAB14, member RAS oncogene family",ENSMUSG00000026878
Q91V64,4,1819.6506810555309,Isoc1,isochorismatase domain containing 1,ENSMUSG00000024601
Q91V76,4,2050.6177683019114,4931406C07Rik,RIKEN cDNA 4931406C07 gene,ENSMUSG00000031938
Q91V92,4,3127.163512885681,Acly,ATP citrate lyase,ENSMUSG00000020917
Q91VA0,4,4578.979935261284,Acsm1,acyl-CoA synthetase medium-chain family member 1,ENSMUSG00000033533
Q91VA6,4,1612.1417841929576,Poldip2,"polymerase (DNA-directed), delta interacting protein 2",ENSMUSG00000001100
Q91VA7,4,1686.6381844547204,Idh3b,isocitrate dehydrogenase 3 (NAD+) beta,ENSMUSG00000027406
Q91VB8,4,8621.507712988161,Hba-a1,"hemoglobin alpha, adult chain 1",ENSMUSG00000069919
Q91VC9,4,2355.3915906167053,Ghitm,growth hormone inducible transmembrane protein,ENSMUSG00000041028
Q91VD9,4,4232.621142815957,Ndufs1,NADH:ubiquinone oxidoreductase core subunit S1,ENSMUSG00000025968
Q91VI7,4,2994.2075342079925,Rnh1,ribonuclease/angiogenin inhibitor 1,ENSMUSG00000038650
Q91VM5,4,3459.7767472147116,Rbmxl1,"RNA binding motif protein, X-linked like-1",ENSMUSG00000037070
Q91VM9,4,1884.9060090402627,Ppa2,pyrophosphatase (inorganic) 2,ENSMUSG00000028013
Q91VR2,4,19715.547941708697,Atp5c1,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1",ENSMUSG00000025781
Q91VR5,4,1577.119633379762,Ddx1,DEAD box helicase 1,ENSMUSG00000037149
Q91VS7,4,25651.257734516217,Mgst1,microsomal glutathione S-transferase 1,ENSMUSG00000008540
Q91VT4,4,1547.1419809194801,Cbr4,carbonyl reductase 4,ENSMUSG00000031641
Q91VU6,4,2664.284537607027,Dcaf11,DDB1 and CUL4 associated factor 11,ENSMUSG00000022214
Q91W43,4,1849.8657303617017,Gldc,glycine decarboxylase,ENSMUSG00000024827
Q91W50,4,2354.865093029835,Csde1,"cold shock domain containing E1, RNA binding",ENSMUSG00000068823
Q91W52,4,1749.37543620422,Tmem19,transmembrane protein 19,ENSMUSG00000069520
Q91W64,4,9987.849673268307,Cyp2c70,"cytochrome P450, family 2, subfamily c, polypeptide 70",ENSMUSG00000060613
Q91W90,4,3123.905995848297,Txndc5,thioredoxin domain containing 5,ENSMUSG00000038991
Q91WD5,4,3271.805760505502,Ndufs2,NADH:ubiquinone oxidoreductase core subunit S2,ENSMUSG00000013593
Q91WG8,4,1971.0192963362351,Gne,glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase,ENSMUSG00000028479
Q91WK2,4,1565.3655173996942,Eif3h,"eukaryotic translation initiation factor 3, subunit H",ENSMUSG00000022312
Q91WL5,4,4101.772820257432,Cyp4a12a,"cytochrome P450, family 4, subfamily a, polypeptide 12a",ENSMUSG00000066071
Q91WN4,4,6393.535730070411,Kmo,kynurenine 3-monooxygenase (kynurenine 3-hydroxylase),ENSMUSG00000039783
Q91WS0,4,5597.151682772176,Cisd1,CDGSH iron sulfur domain 1,ENSMUSG00000037710
Q91WT7,4,5681.193595973354,Akr1c14,"aldo-keto reductase family 1, member C14",ENSMUSG00000033715
Q91WT8,4,1078.2888866766705,Rbm47,RNA binding motif protein 47,ENSMUSG00000070780
Q91WT9,4,2260.487064569131,Cbs,cystathionine beta-synthase,ENSMUSG00000024039
Q91WU0,4,5080.622776867493,Ces1f,carboxylesterase 1F,ENSMUSG00000031725
Q91WU5,4,1286.110200433576,As3mt,arsenite methyltransferase,ENSMUSG00000003559
Q91X34,4,2994.015357277192,Baat,bile acid-Coenzyme A: amino acid N-acyltransferase,ENSMUSG00000039653
Q91X52,4,2354.5849384527683,Dcxr,dicarbonyl L-xylulose reductase,ENSMUSG00000039450
Q91X72,4,1611.6693568738833,Hpx,hemopexin,ENSMUSG00000030895
Q91X77,4,8926.597494851703,Cyp2c50,"cytochrome P450, family 2, subfamily c, polypeptide 50",ENSMUSG00000054827
Q91X83,4,8478.684736328156,Mat1a,"methionine adenosyltransferase I, alpha",ENSMUSG00000037798
Q91XD4,4,3361.182112311626,Ftcd,formiminotransferase cyclodeaminase,ENSMUSG00000001155
Q91XE0,4,5275.05094986124,Glyat,glycine-N-acyltransferase,ENSMUSG00000063683
Q91XE8,4,11127.915145119598,Tmem205,transmembrane protein 205,ENSMUSG00000040883
Q91XF0,4,2341.942639719558,Pnpo,pyridoxine 5'-phosphate oxidase,ENSMUSG00000018659
Q91Y97,4,21741.096647974162,Aldob,"aldolase B, fructose-bisphosphate",ENSMUSG00000028307
Q91YH5,4,3749.8616664829447,Atl3,atlastin GTPase 3,ENSMUSG00000024759
Q91YI0,4,8875.2309838956,Asl,argininosuccinate lyase,ENSMUSG00000025533
Q91YP0,4,2093.0259300511852,L2hgdh,L-2-hydroxyglutarate dehydrogenase,ENSMUSG00000020988
Q91YP3,4,1711.0171262088134,Dera,deoxyribose-phosphate aldolase (putative),ENSMUSG00000030225
Q91YQ5,4,6441.29466774361,Rpn1,ribophorin I,ENSMUSG00000030062
Q91YR1,4,1995.2374575051276,Twf1,twinfilin actin binding protein 1,ENSMUSG00000022451
Q91YR7,4,1197.0783123155195,Prpf6,pre-mRNA splicing factor 6,ENSMUSG00000002455
Q91YT0,4,5806.02213831288,Ndufv1,NADH:ubiquinone oxidoreductase core subunit V1,ENSMUSG00000037916
Q91YW3,4,2726.9887891022086,Dnajc3,DnaJ heat shock protein family (Hsp40) member C3,ENSMUSG00000022136
Q91YX5,4,1590.9878757436238,Lpgat1,lysophosphatidylglycerol acyltransferase 1,ENSMUSG00000026623
Q91Z53,4,4083.6656141292115,Grhpr,glyoxylate reductase/hydroxypyruvate reductase,ENSMUSG00000035637
Q91ZA3,4,4097.804511361874,Pcca,"propionyl-Coenzyme A carboxylase, alpha polypeptide",ENSMUSG00000041650
Q91ZJ5,4,4217.375583842594,Ugp2,UDP-glucose pyrophosphorylase 2,ENSMUSG00000001891
Q91ZV0,4,2307.564594810002,NA,NA,NA
Q91ZX7,4,2429.7761645198343,Lrp1,low density lipoprotein receptor-related protein 1,ENSMUSG00000040249
Q920A5,4,1128.8671715606627,Scpep1,serine carboxypeptidase 1,ENSMUSG00000000278
Q920E5,4,5103.089484986862,Fdps,farnesyl diphosphate synthetase,ENSMUSG00000059743
Q920L1,4,1845.6446500436448,Fads1,fatty acid desaturase 1,ENSMUSG00000010663
Q921F2,4,3518.2524161721226,Tardbp,TAR DNA binding protein,ENSMUSG00000041459
Q921G7,4,7786.913470154965,Etfdh,"electron transferring flavoprotein, dehydrogenase",ENSMUSG00000027809
Q921H8,4,6834.9764633408295,Acaa1a,acetyl-Coenzyme A acyltransferase 1A,ENSMUSG00000036138
Q921I1,4,4651.898078841622,Trf,transferrin,ENSMUSG00000032554
Q921M3,4,1199.2105998797722,Sf3b3,"splicing factor 3b, subunit 3",ENSMUSG00000033732
Q921T2,4,1732.3396026082573,Tor1aip1,torsin A interacting protein 1,ENSMUSG00000026466
Q921X9,4,2914.396501678837,Pdia5,protein disulfide isomerase associated 5,ENSMUSG00000022844
Q922B2,4,3583.979368751533,Dars,aspartyl-tRNA synthetase,ENSMUSG00000026356
Q922D8,4,4680.366322969711,Mthfd1,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthase",ENSMUSG00000021048
Q922E4,4,2568.4498282111117,Pcyt2,"phosphate cytidylyltransferase 2, ethanolamine",ENSMUSG00000025137
Q922F4,4,1457.9364399187168,Tubb6,"tubulin, beta 6 class V",ENSMUSG00000001473
Q922Q1,4,9217.709957392324,Mtarc2,mitochondrial amidoxime reducing component 2,ENSMUSG00000073481
Q922Q8,4,6605.041638542962,Lrrc59,leucine rich repeat containing 59,ENSMUSG00000020869
Q923B6,4,3602.9171689482123,Steap4,STEAP family member 4,ENSMUSG00000012428
Q923D2,4,2142.5628225915316,Blvrb,biliverdin reductase B (flavin reductase (NADPH)),ENSMUSG00000040466
Q924D0,4,1297.8065434293378,Rtn4ip1,reticulon 4 interacting protein 1,ENSMUSG00000019864
Q924Y0,4,3147.8610591412416,Bbox1,"butyrobetaine (gamma), 2-oxoglutarate dioxygenase 1 (gamma-butyrobetaine hydroxylase)",ENSMUSG00000041660
Q924Z4,4,4245.568997716912,Cers2,ceramide synthase 2,ENSMUSG00000015714
Q925I1,4,3779.162191527647,Atad3a,"ATPase family, AAA domain containing 3A",ENSMUSG00000029036
Q925N2,4,2180.8080294749607,Sfxn2,sideroflexin 2,ENSMUSG00000025036
Q93092,4,3860.764931517357,Taldo1,transaldolase 1,ENSMUSG00000025503
Q99020,4,5701.132148409831,Hnrnpab,heterogeneous nuclear ribonucleoprotein A/B,ENSMUSG00000020358
Q99J08,4,5532.472278935418,Sec14l2,SEC14-like lipid binding 2,ENSMUSG00000003585
Q99J39,4,2484.981496408466,Mlycd,malonyl-CoA decarboxylase,ENSMUSG00000074064
Q99J56,4,6518.349527870918,Derl1,"Der1-like domain family, member 1",ENSMUSG00000022365
Q99J99,4,3542.4634783321517,NA,NA,NA
Q99JB2,4,1856.5823278877106,Stoml2,stomatin (Epb7.2)-like 2,ENSMUSG00000028455
Q99JB8,4,4611.9007530158915,Pacsin3,protein kinase C and casein kinase substrate in neurons 3,ENSMUSG00000027257
Q99JI4,4,2844.849946002242,Psmd6,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 6",ENSMUSG00000021737
Q99JR1,4,3982.7304461984986,Sfxn1,sideroflexin 1,ENSMUSG00000021474
