Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	Symbol	Genename	ENSEMBL
Q9CQE1	-0.025907145752667626	-0.047411056078509296	-0.004403235426825955	11.477930463419765	-2.372665541378413	0.018409871543136558	0.0395168097124805	-4.633084169502028	Nipsnap3b	nipsnap homolog 3B	ENSMUSG00000015247
O08600	-0.031024917889471357	-0.057639180868323585	-0.004410654910619129	11.231943924358642	-2.2989356341849225	0.022559986371015604	0.04676559509004959	-4.634256161723341	Endog	endonuclease G	ENSMUSG00000015337
Q91ZJ5	0.007529396242705463	0.0014939610948250664	0.01356483139058586	11.99487746462807	2.4527771754368413	0.014615715134504523	0.0324955373474119	-4.638493480917253	Ugp2	UDP-glucose pyrophosphorylase 2	ENSMUSG00000001891
Q5SUH7	-0.022175369102222103	-0.040338810030301236	-0.004011928174142972	11.153866723440359	-2.4026525552685563	0.016889033819161507	0.036895164259161985	-4.641271018504304	Clint1	clathrin interactor 1	ENSMUSG00000006169
Q921G7	0.004604331015627777	9.159024057821606e-4	0.008292759625473394	12.85011412791143	2.454244286680011	0.01455263726918499	0.032401384689082824	-4.642163467582891	Etfdh	electron transferring flavoprotein, dehydrogenase	ENSMUSG00000027809
Q91WU5	-0.0274538494946138	-0.05091733123293427	-0.003990367756293328	10.915090359448921	-2.3059437495427804	0.022042714613134045	0.04581484433554324	-4.644389714387731	As3mt	arsenite methyltransferase	ENSMUSG00000003559
Q8VCB3	-0.017956201736653667	-0.03256299594770159	-0.0033494075256057434	11.511068062658394	-2.4178130027431077	0.016127895508196766	0.035454150041225804	-4.6575352049708485	Gys2	glycogen synthase 2	ENSMUSG00000030244
Q62318	-0.03322308032139985	-0.0608086441396086	-0.0056375165031911124	11.55057480831541	-2.3708876769144522	0.018431064798719313	0.0395168097124805	-4.664242586266926	Trim28	tripartite motif-containing 28	ENSMUSG00000005566
Q8BSY0	-0.02302070877768652	-0.041708886257496094	-0.0043325312978769424	11.00205062257769	-2.4228094772837414	0.015912987203535508	0.03503098450581126	-4.668379893705966	Asph	aspartate-beta-hydroxylase	ENSMUSG00000028207
O35887	-0.02719540380799894	-0.04980722306582099	-0.004583584550176885	11.252328933647966	-2.3673683138611574	0.01858656893364151	0.03979562636065983	-4.669222392844153	Calu	calumenin	ENSMUSG00000029767
Q9DBG5	-0.030220724511073844	-0.05587873972571495	-0.004562709296432738	10.85486492841552	-2.320899165832042	0.021181261220037717	0.04431902448048052	-4.678505586461745	Plin3	perilipin 3	ENSMUSG00000024197
Q8VDQ1	-0.03109731220106509	-0.05703238187624185	-0.005162242525888334	12.110189236659552	-2.359983689746908	0.018941415185326802	0.04038940236652904	-4.691510608362696	Ptgr2	prostaglandin reductase 2	ENSMUSG00000072946
P70333	-0.018258135633311304	-0.033315884598117296	-0.003200386668505313	11.717017091996322	-2.3851395712865266	0.017627304606818748	0.038212866990926075	-4.693311582578703	Hnrnph2	heterogeneous nuclear ribonucleoprotein H2	ENSMUSG00000045427
O88531	-0.028846066024460357	-0.05367088082687757	-0.004021251222043144	10.764750548178368	-2.2899023334152835	0.0229640898347806	0.0474146266998178	-4.701656381939963	Ppt1	palmitoyl-protein thioesterase 1	ENSMUSG00000028657
Q62093	-0.02963907274888255	-0.05498581532651622	-0.00429233017124888	12.617674740588866	-2.304128348003037	0.022117457621014795	0.04590914510178768	-4.703697771918277	Srsf2	serine and arginine-rich splicing factor 2	ENSMUSG00000034120
Q8JZR0	0.007327802048137063	0.0013897796867091737	0.013265824409564954	11.89826632878105	2.4262270812098303	0.015709893391498222	0.034632670480834585	-4.705085169023356	Acsl5	acyl-CoA synthetase long-chain family member 5	ENSMUSG00000024981
Q91YH5	0.01653402871041579	0.002942249615643487	0.030125807805188094	12.031601631888016	2.392771800210964	0.01726455214997366	0.03758286213148863	-4.711039099938024	Atl3	atlastin GTPase 3	ENSMUSG00000024759
A2AJL3	-0.021801450245167404	-0.03986061125404121	-0.0037422892362935986	11.500390241936993	-2.374554566301423	0.018123783818485575	0.03907237808040408	-4.737065763215741	Fggy	FGGY carbohydrate kinase domain containing	ENSMUSG00000028573
Q8BWQ1	0.008966086342800994	0.0016621574599089955	0.01627001522569299	12.217532817040235	2.4134539301711544	0.016260448514173097	0.03564527493359404	-4.739981763519262	Ugt2a3	UDP glucuronosyltransferase 2 family, polypeptide A3	ENSMUSG00000035780
Q9QYR9	0.03453218650545121	0.004292863478103606	0.06477150953279881	11.810412930536684	2.251334615755696	0.025412132668526703	0.0511844888671485	-4.760758620726195	Acot2	acyl-CoA thioesterase 2	ENSMUSG00000021226
Q01730	-0.024906610549210728	-0.04649320269194579	-0.00332001840647567	10.540291952668385	-2.2746069697482123	0.02394676542733805	0.048845133676923794	-4.763606763979871	NA	NA	NA
Q9CZD3	-0.028492873158904225	-0.053397794066057006	-0.003587952251751448	10.998763910621868	-2.2557406832826317	0.02515044128798793	0.050722760945967914	-4.765982761671131	Gars	glycyl-tRNA synthetase	ENSMUSG00000029777
Q99KC8	-0.022265350654831765	-0.04118128190368671	-0.0033494194059768174	10.623111562507098	-2.31693700059559	0.021222244544655322	0.044345412063230304	-4.771217871438694	Vwa5a	von Willebrand factor A domain containing 5A	ENSMUSG00000023186
Q99JB2	-0.01639390044839109	-0.030111781721201526	-0.0026760191755806576	10.908280539421382	-2.3510451460131123	0.019316735334098417	0.04113359308882265	-4.775339252552426	Stoml2	stomatin (Epb7.2)-like 2	ENSMUSG00000028455
P18760	-0.011438875171262764	-0.020847224291969668	-0.002030526050555861	11.49670120646388	-2.3904906039850746	0.01730632420048852	0.03762139739271705	-4.776993732954785	Cfl1	cofilin 1, non-muscle	ENSMUSG00000056201
Q8R1B4	-0.020934876152836627	-0.03831382856091331	-0.003555923744759947	11.543179395170215	-2.3695154902346762	0.018375125072999744	0.03950525514318927	-4.784769473543852	Eif3c	eukaryotic translation initiation factor 3, subunit C	ENSMUSG00000030738
Q99M28	-0.023743541319913092	-0.04435409170855041	-0.0031329909312757774	11.772877153580309	-2.2695578216470045	0.024139330054990506	0.04910176423155893	-4.791557740418378	Rnps1	RNA binding protein with serine rich domain 1	ENSMUSG00000034681
Q9CR98	-0.021684506700072267	-0.03986828744021871	-0.0035007259599258225	12.231521031829832	-2.3462940334574616	0.01957958137433388	0.0415800077283748	-4.800965145038653	Fam136a	family with sequence similarity 136, member A	ENSMUSG00000057497
P10639	-0.02056701661739715	-0.037583998460975605	-0.003550034773818697	13.892608147866945	-2.376484798838832	0.017977763940596685	0.03881111193253124	-4.810444883380319	Txn1	thioredoxin 1	ENSMUSG00000028367
Q76MZ3	-0.01991834130778805	-0.03664422438025855	-0.003192458235317556	10.985829973172327	-2.342717563129265	0.019742062631187163	0.041811441588815085	-4.811895041219149	Ppp2r1a	protein phosphatase 2, regulatory subunit A, alpha	ENSMUSG00000007564
A0A0J9YU79	-0.016511131904989002	-0.03044627433190359	-0.0025759894780744124	11.270277610839502	-2.331021199178139	0.02036813896532272	0.042801547062042845	-4.814983977123985	Khk	ketohexokinase	ENSMUSG00000029162
O70310	-0.01814387365060779	-0.03346995990918055	-0.0028177873920350316	10.792910277425696	-2.329511816046004	0.020481312568175074	0.042969518851084076	-4.816768927917979	Nmt1	N-myristoyltransferase 1	ENSMUSG00000020936
Q6PDN3	-0.029007248839042713	-0.05444981927993747	-0.003564678398147954	11.045812674697887	-2.247365314304338	0.025643930644982146	0.05158045998425598	-4.832238595611369	NA	NA	NA
P12265	-0.02622374642367734	-0.048878667024010516	-0.003568825823344165	11.72524252719473	-2.279065271924023	0.023454150996030626	0.04812990267550564	-4.834334957537989	Gusb	glucuronidase, beta	ENSMUSG00000025534
P14733	-0.022930623403340435	-0.0421716478772749	-0.0036895989294059746	12.301704701601137	-2.3439164662893797	0.019642021958698214	0.04165601129097057	-4.84097181210159	Lmnb1	lamin B1	ENSMUSG00000024590
Q64213	-0.02468850535201384	-0.04602407101791281	-0.003352939686114876	11.073811793107334	-2.2780937992464554	0.023495275586315294	0.04812990267550564	-4.850621509276145	NA	NA	NA
Q61656	-0.01934305944856114	-0.03554482603525412	-0.0031412928618681536	12.61169310135343	-2.3478111067359904	0.019421032773825904	0.04129942071495223	-4.855948471214598	NA	NA	NA
Q91XF0	-0.02424330286281495	-0.04556203677978961	-0.002924568945840287	12.062843325570277	-2.2411364332931836	0.02601343440782612	0.05199360355426116	-4.861874979553651	Pnpo	pyridoxine 5'-phosphate oxidase	ENSMUSG00000018659
Q61133	-0.01982702017191934	-0.03691729590908405	-0.002736744434754631	10.59668795583692	-2.2842330423681485	0.023147326250911537	0.047673661953311346	-4.8632100952207775	Gstt2	glutathione S-transferase, theta 2	ENSMUSG00000033318
Q9DAW9	-0.02282660971621218	-0.042944197048303004	-0.0027090223841213616	11.14764193622427	-2.2352802560336804	0.026329100327417632	0.05249028547417571	-4.864876178901865	Cnn3	calponin 3, acidic	ENSMUSG00000053931
Q11011	-0.030867373389188425	-0.0575097432143926	-0.004225003563984246	12.06832161376997	-2.2809833129860766	0.02332701892563384	0.04797385602732328	-4.871847250878716	Npepps	aminopeptidase puromycin sensitive	ENSMUSG00000001441
P14211	-0.007795255235034532	-0.014298412936429073	-0.0012920975336399914	12.182058890414094	-2.3566695261425	0.018931416345376005	0.04038940236652904	-4.87350436432064	Calr	calreticulin	ENSMUSG00000003814
Q8CGB9	-0.02140169425601745	-0.03944571775060522	-0.003357670761429673	10.875072346064947	-2.3328971127528	0.020230361170839803	0.042672138340111486	-4.878737295507193	NA	NA	NA
Q9D1A2	-0.021606407782979946	-0.04005263495918645	-0.0031601806067734425	11.22192160329879	-2.3042565749373964	0.021833577748498173	0.045440588576434945	-4.891139692726933	Cndp2	CNDP dipeptidase 2 (metallopeptidase M20 family)	ENSMUSG00000024644
Q6P542	-0.029365573411213756	-0.05513459864389805	-0.0035965481785294635	11.047572755567144	-2.24381793551968	0.02567472672280944	0.05158045998425598	-4.900095622772618	Abcf1	ATP-binding cassette, sub-family F (GCN20), member 1	ENSMUSG00000038762
Q9DCL9	-0.017315709862335472	-0.032208007307272635	-0.0024234124173983136	11.315645102014775	-2.287682098879037	0.02281737435586063	0.04722388080595812	-4.9010192866641145	Paics	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoribosylaminoimidazole, succinocarboxamide synthetase	ENSMUSG00000029247
Q9DBH5	-0.010371968375886605	-0.019104781818118442	-0.0016391549336547667	12.33974730860211	-2.3353172106301114	0.020048638463663938	0.042345975565819906	-4.908181451350019	Lman2	lectin, mannose-binding 2	ENSMUSG00000021484
Q9CY58	-0.011624431233708956	-0.02140931844893649	-0.0018395440184814232	11.54823624195103	-2.335922643573061	0.020018073008070222	0.042338630732900895	-4.908478783895269	Serbp1	serpine1 mRNA binding protein 1	ENSMUSG00000036371
O55234	-0.021166572414707433	-0.039374281903492736	-0.0029588629259221268	12.035375210619105	-2.287132715017094	0.02284149321132715	0.04722388080595812	-4.920877905841911	Psmb5	proteasome (prosome, macropain) subunit, beta type 5	ENSMUSG00000022193
Q9DBN5	0.012207901928434397	0.0019030769201521854	0.02251272693671661	11.671868338404911	2.3292769576538217	0.02036299575935424	0.042801547062042845	-4.925028050371085	Lonp2	lon peptidase 2, peroxisomal	ENSMUSG00000047866
Q9CQV8	-0.01961541575980808	-0.03664950372342961	-0.002581327796186559	11.414246778140573	-2.2662241031128754	0.024158193662232128	0.04910176423155893	-4.925630312132646	Ywhab	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide	ENSMUSG00000018326
A3KFU5	-0.018196455638756968	-0.03393650848749237	-0.002456402790021569	11.842169046756146	-2.2753812950436028	0.023616378927568966	0.04831466003113913	-4.92751168286405	Pabpc4	poly(A) binding protein, cytoplasmic 4	ENSMUSG00000011257
P05202	-0.006285029833869896	-0.011590864641988843	-9.791950257509495e-4	13.665545775540322	-2.3288753881275426	0.0203738650122584	0.042801547062042845	-4.937733078126003	Got2	glutamatic-oxaloacetic transaminase 2, mitochondrial	ENSMUSG00000031672
Q9CQS8	-0.011984277846881978	-0.02215729466344423	-0.001811261030319724	12.251457063283176	-2.316412297611589	0.021074824891246794	0.04415543070377847	-4.938557423954034	Sec61b	Sec61 beta subunit	ENSMUSG00000053317
Q71RI9	-0.018308688763463747	-0.034132431301359324	-0.00248494622556817	11.799706504212917	-2.2765145234220654	0.023486846588101726	0.04812990267550564	-4.939977941553471	Kyat3	kynurenine aminotransferase 3	ENSMUSG00000040213
Q8JZQ9	-0.012937225375233428	-0.02396623332358014	-0.001908217426886719	11.601837017250615	-2.306546520254399	0.021626725750491908	0.045070096464025135	-4.959647179494396	Eif3b	eukaryotic translation initiation factor 3, subunit B	ENSMUSG00000056076
Q3THK7	-0.023961053916060536	-0.04505053986614614	-0.002871567965974927	11.437211296339417	-2.2354639140008628	0.026090622561888065	0.05208128105265778	-4.985020641218307	Gmps	guanine monophosphate synthetase	ENSMUSG00000027823
Q7TMF3	-0.01885162244292389	-0.03527003178203629	-0.0024332131038114907	12.479971295335245	-2.2587015831526625	0.024553296430978064	0.04977535969081545	-4.9918906326781975	Ndufa12	NADH:ubiquinone oxidoreductase subunit A12	ENSMUSG00000020022
Q9Z2M7	-0.023931916521423673	-0.044803193336869857	-0.0030606397059774887	12.329146325664869	-2.25584496593951	0.024749930428040228	0.050044167217369824	-4.994793844221945	Pmm2	phosphomannomutase 2	ENSMUSG00000022711
P62960	-0.013338744340584538	-0.024840382153719545	-0.0018371065274495318	11.796555679504102	-2.2806765000416704	0.02315054985448708	0.047673661953311346	-4.997572126137579	Ybx1	Y box protein 1	ENSMUSG00000028639
Q3U2P1	-0.016993818099624632	-0.03173369242422423	-0.00225394377502503	11.278496516302715	-2.2675909106351417	0.023969429002047696	0.048845133676923794	-5.002319221121022	Sec24a	Sec24 related gene family, member A (S. cerevisiae)	ENSMUSG00000036391
Q6P069	-0.023565712284251868	-0.04490416671780739	-0.0022272578506963465	11.281943587455789	-2.1774240065464054	0.03059332987608661	0.05946450146407043	-5.004398608231649	Sri	sorcin	ENSMUSG00000003161
D3YX34	-0.02391229332860392	-0.045575137941715055	-0.0022494487154927807	11.56382499458316	-2.175644473683451	0.030664355841356856	0.05946450146407043	-5.0049648178128265	Dctn1	dynactin 1	ENSMUSG00000031865
Q9D6S7	-0.02496623049867578	-0.04780926592399771	-0.002123195073353852	11.040458283519028	-2.1533928043828823	0.03232099695879268	0.06221393872733123	-5.034577605080437	Mrrf	mitochondrial ribosome recycling factor	ENSMUSG00000026887
Q6IRU5	-0.02996783333918305	-0.05761634372567917	-0.002319322952686928	11.633153494290527	-2.1361534134904963	0.03377379429585316	0.06414148297013182	-5.042870123167656	Cltb	clathrin, light polypeptide (Lcb)	ENSMUSG00000047547
O88487	-0.027251837209618157	-0.05266926271502106	-0.0018344117042152566	10.596865079596267	-2.114112518205164	0.03573512911757235	0.06697123118796833	-5.046200852134465	Dync1i2	dynein cytoplasmic 1 intermediate chain 2	ENSMUSG00000027012
Q61490	-0.029947928428692382	-0.05706386991654898	-0.002831986940835786	11.54227317449775	-2.1753849154183924	0.030555672009580634	0.05946450146407043	-5.047716623266236	Alcam	activated leukocyte cell adhesion molecule	ENSMUSG00000022636
P12382	-0.022026149813933037	-0.041782291932082175	-0.0022700076957839037	11.179660075175793	-2.194533785091939	0.029008085975161916	0.0571748277164919	-5.049404535296882	Pfkl	phosphofructokinase, liver, B-type	ENSMUSG00000020277
P03930	-0.022769878928312483	-0.04376751067772904	-0.0017722471788959235	11.087089919348786	-2.1382937148400316	0.03370280012830651	0.06408452141185289	-5.050111577863916	ATP8	ATP synthase F0 subunit 8	ENSMUSG00000064356
P45952	0.0054175529868710276	7.264397378435056e-4	0.01010866623589855	12.428495857651926	2.270491510697373	0.02372040389777758	0.04846404090487105	-5.0702360354964195	Acadm	acyl-Coenzyme A dehydrogenase, medium chain	ENSMUSG00000062908
O88908	-0.02357804712341473	-0.045395684596398214	-0.0017604096504312515	11.18335362295823	-2.1296384127875596	0.03429474165783862	0.06481581766771677	-5.079618261418988	Soat2	sterol O-acyltransferase 2	ENSMUSG00000023045
Q9DCQ2	-0.02996005670850633	-0.05802092488766772	-0.0018991885293449355	11.743229809429149	-2.1050108958343334	0.03650514569772318	0.06816910719897411	-5.0809632786788965	Aspdh	aspartate dehydrogenase domain containing	ENSMUSG00000038704
Q3TXS7	-0.016336326817974478	-0.030570121681910645	-0.0021025319540383114	11.435626200606583	-2.256580628051868	0.024595132916952537	0.04979558646269018	-5.091238001489268	Psmd1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	ENSMUSG00000026229
P26043	0.009418876344801826	0.0012210513865106697	0.01761670130309298	12.236331229149583	2.2589519089381374	0.024441459240474653	0.049612988042677775	-5.092520225187325	Rdx	radixin	ENSMUSG00000032050
A2AN08	-0.029153692720837537	-0.056059995409978816	-0.002247390031696255	10.914781398208666	-2.13595102901113	0.033837996961832935	0.06418542384871952	-5.094435860968942	Ubr4	ubiquitin protein ligase E3 component n-recognin 4	ENSMUSG00000066036
Q8CGK3	-0.012186214819531936	-0.022886180781291374	-0.001486248857772498	11.675200070545824	-2.2397468182872617	0.025718037905713295	0.05160114665806147	-5.09456985457432	Lonp1	lon peptidase 1, mitochondrial	ENSMUSG00000041168
Q02257	-0.0446739077644774	-0.08531541622206229	-0.0040323993068924965	12.932362507811748	-2.1644067306548327	0.03133473176839847	0.060614091279711395	-5.0959284514995264	Jup	junction plakoglobin	ENSMUSG00000001552
Q8CHP5	-0.02368937054071953	-0.0449446632822986	-0.0024340777991404584	13.01500762400732	-2.193244087741799	0.02905575357478967	0.05719665344760234	-5.099314226239248	Pym1	PYM homolog 1, exon junction complex associated factor	ENSMUSG00000064030
P97461	-0.015894343862908	-0.029874312514745104	-0.0019143752110708963	11.678607589643967	-2.2358611686246563	0.025972296326733594	0.05197784783442331	-5.099582028069932	Rps5	ribosomal protein S5	ENSMUSG00000012848
P39447	-0.021529557460162944	-0.04062133097956816	-0.0024377839407577276	12.175986708941013	-2.2183745507714963	0.027210494287654163	0.05397208448173028	-5.10043804209684	Tjp1	tight junction protein 1	ENSMUSG00000030516
Q8K5B2	-0.02674549249425694	-0.05175118312545354	-0.0017398018630603342	11.880399248125665	-2.1086869655321188	0.03617675257823419	0.06771768177219166	-5.103351455000297	Mcfd2	multiple coagulation factor deficiency 2	ENSMUSG00000024150
P01029	-0.016122349960299657	-0.030486099897723648	-0.0017586000228756657	11.349797106435776	-2.208138058796648	0.02793133356256512	0.05526161311175858	-5.103799564125782	C4b	complement component 4B (Chido blood group)	ENSMUSG00000073418
Q8BZF8	0.013744100816468548	0.0013620153057596063	0.02612618632717749	12.7485039378972	2.1839612308760747	0.029703433401713417	0.05810571515253826	-5.105914645981393	Pgm5	phosphoglucomutase 5	ENSMUSG00000041731
Q91YX5	-0.02215840631008467	-0.04266851427113687	-0.001648298349032469	11.153017106064958	-2.128366628214533	0.03434082521906529	0.0648245287649747	-5.107476867099553	Lpgat1	lysophosphatidylglycerol acyltransferase 1	ENSMUSG00000026623
A0A0R4J1H2	-0.01996360031587929	-0.03808436623134913	-0.0018428344004094502	11.224369950992413	-2.168576409559409	0.030949164847840292	0.059942434519423014	-5.1132033631778455	Glyctk	glycerate kinase	ENSMUSG00000020258
P10854	-0.017326426992396875	-0.03246474995130187	-0.002188104033491879	15.618940194819496	-2.2502321581744478	0.024990131145589203	0.05046456715834099	-5.114697331252753	H2bc14	H2B clustered histone 14	ENSMUSG00000114279
Q80XL6	-0.00921992955315203	-0.017322989713492734	-0.0011168693928113264	11.891244280879206	-2.2372085252143346	0.025849582955617047	0.05179858738414031	-5.136147597966012	Acad11	acyl-Coenzyme A dehydrogenase family, member 11	ENSMUSG00000090150
O08677	-0.026838229563900813	-0.05173116512233751	-0.0019452940054641155	11.270987978688728	-2.1236817156744405	0.03470518838369183	0.06543330451593526	-5.1369979056885615	Kng1	kininogen 1	ENSMUSG00000022875
P97823	-0.014936387269975862	-0.02812931395188726	-0.0017434605880644622	10.9204865615029	-2.226286705053972	0.02659900485892492	0.052866027353805155	-5.13748845681225	Lypla1	lysophospholipase 1	ENSMUSG00000025903
Q6ZQI3	-0.011267151808026711	-0.02120730498658338	-0.0013269986294700432	11.868398913617042	-2.2287617044658745	0.02641785442704837	0.0526001356299065	-5.14605204336998	Mlec	malectin	ENSMUSG00000048578
G3UXX3	-0.018505125693006254	-0.03546552398432462	-0.0015447274016878836	11.135602947087872	-2.14757716650201	0.032588984617455304	0.0626082621769048	-5.148823525062548	NA	NA	NA
Q6DFW4	-0.018372039580053293	-0.03487141487928485	-0.001872664280821737	11.632488045118802	-2.1900010916363764	0.029184500005811433	0.05737782831331229	-5.157311352790748	Nop58	NOP58 ribonucleoprotein	ENSMUSG00000026020
Q62448	-0.020633346561278642	-0.03956703283993442	-0.0016996602826228613	10.567209690196712	-2.14512964329629	0.032797990716715984	0.06289970489598415	-5.161023568977916	Eif4g2	eukaryotic translation initiation factor 4, gamma 2	ENSMUSG00000005610
Q64514	-0.02301121935866774	-0.04382729282545106	-0.0021951458918844265	11.738238022089702	-2.174565153364162	0.030367245340974264	0.05925593566534679	-5.169106969119272	Tpp2	tripeptidyl peptidase II	ENSMUSG00000041763
Q8VCM8	-0.023013988451620986	-0.044163897195864735	-0.0018640797073772343	12.32258954447308	-2.141723102097308	0.0330559443319825	0.06316190830181986	-5.169641998438555	Ncln	nicalin	ENSMUSG00000020238
P11679	-0.00930528101170064	-0.017525845114971902	-0.0010847169084293798	13.990786424313857	-2.2254636493580247	0.02661904256394412	0.052866027353805155	-5.1701891344967805	Krt8	keratin 8	ENSMUSG00000049382
P12367	-0.017982927893356274	-0.034197478303530676	-0.0017683774831818676	11.732520910788178	-2.1813382483023283	0.029830054900059712	0.05828046976099167	-5.181410656130069	NA	NA	NA
Q9D154	-0.029773404053184065	-0.05808702031033491	-0.0014597877960332226	11.757230477658611	-2.0720362934416117	0.039389012376579206	0.07268598151663908	-5.18226823721437	Serpinb1a	serine (or cysteine) peptidase inhibitor, clade B, member 1a	ENSMUSG00000044734
A0A0R4J0I1	-0.01172904231630118	-0.022140915904286518	-0.0013171687283158404	11.672552802307713	-2.21484692973074	0.027353088905945344	0.05418615711025675	-5.185748055415129	Serpina3k	serine (or cysteine) peptidase inhibitor, clade A, member 3K	ENSMUSG00000058207
Q99KJ8	-0.036458257439450865	-0.07104047068922321	-0.0018760441896785163	11.34049222451802	-2.077099998943157	0.038890539098150406	0.07195044107985157	-5.196350830032664	Dctn2	dynactin 2	ENSMUSG00000025410
P32233	-0.027334589479830588	-0.05342380910195209	-0.001245369857709084	10.780578390508754	-2.0651184835592886	0.04010818663007421	0.07392582040425236	-5.197212713768378	Drg1	developmentally regulated GTP binding protein 1	ENSMUSG00000020457
P42703	-0.03220215058125484	-0.06261419986345226	-0.0017901012990574165	12.3685886753553	-2.0857815842009604	0.0380481924287261	0.0706286517412101	-5.197540229940523	Lifr	LIF receptor alpha	ENSMUSG00000054263
P21619	-0.019394941413166434	-0.03678373043574034	-0.0020061523905925277	11.906469304804453	-2.1934903072663356	0.02891361577002417	0.05706058263705527	-5.202779753083362	Lmnb2	lamin B2	ENSMUSG00000062075
Q99JB8	-0.028542425204760292	-0.05553655826131568	-0.0015482921482049099	13.221260190346634	-2.0831301150920782	0.03832289992450383	0.0710542023511263	-5.221405176851944	Pacsin3	protein kinase C and casein kinase substrate in neurons 3	ENSMUSG00000027257
Q9DBE0	0.01676759027406436	0.0015757347745853079	0.03195944577354341	12.38196293779345	2.1709041377487717	0.03062268404502691	0.05946450146407043	-5.2251269780406835	Csad	cysteine sulfinic acid decarboxylase	ENSMUSG00000023044
Q8BQ46	-0.01620762258166333	-0.030733773883794117	-0.0016814712795325433	12.724842997523458	-2.194024918950921	0.028855688368082274	0.05701825653516131	-5.225238000842244	Taf15	TATA-box binding protein associated factor 15	ENSMUSG00000020680
Q60864	-0.01597055864718667	-0.030358383653349398	-0.0015827336410239468	11.88367581139968	-2.182622942549407	0.02968413009901146	0.05810571515253826	-5.23373091366593	Stip1	stress-induced phosphoprotein 1	ENSMUSG00000024966
P05784	-0.00934061170355796	-0.017731929025951942	-9.492943811639787e-4	14.136596666135004	-2.188455933929995	0.029226615198616284	0.05738844165255936	-5.250877414602856	Krt18	keratin 18	ENSMUSG00000023043
Q9WTP6	-0.008454346619038445	-0.016055882854907604	-8.52810383169287e-4	12.592284167482427	-2.1866099076459107	0.029362273672668745	0.0575824764747569	-5.254867758877866	Ak2	adenylate kinase 2	ENSMUSG00000028792
P01899	-0.022072813357940063	-0.04274882595026887	-0.001396800765611262	11.811759475932936	-2.1016372500029736	0.036496306527922844	0.06816910719897411	-5.259817041247202	H2-D1	histocompatibility 2, D region locus 1	ENSMUSG00000073411
Q571I9	-0.018792068784880694	-0.03591157842300456	-0.0016725591467568295	11.826559883723252	-2.158717277305299	0.031533311622471645	0.060847612427065656	-5.265162387574492	Aldh16a1	aldehyde dehydrogenase 16 family, member A1	ENSMUSG00000007833
F8VQC1	-0.014923221004516932	-0.028445643191702966	-0.0014007988173308991	11.667335093627823	-2.170029329408159	0.030634312424975364	0.05946450146407043	-5.270024317713762	Srp72	signal recognition particle 72	ENSMUSG00000036323
Q9JJI8	-0.014467960588464168	-0.027828146227080616	-0.0011077749498477202	12.894200878678626	-2.130348448886983	0.03388766525136058	0.06420172216712314	-5.278690788671051	Rpl38	ribosomal protein L38	ENSMUSG00000057322
Q6P4T2	-0.021497786400853484	-0.041154099496179	-0.0018414733055279638	12.094345147066582	-2.15066244562315	0.0321544298966991	0.0619696349303831	-5.282889053340357	Snrnp200	small nuclear ribonucleoprotein 200 (U5)	ENSMUSG00000003660
Q60598	-0.019844533563619916	-0.03806555763281007	-0.0016235094944297666	12.033794353736571	-2.1419729866418455	0.032882346711137225	0.06298420086949447	-5.288301430126577	Cttn	cortactin	ENSMUSG00000031078
Q924D0	-0.021817421161599227	-0.04312741159278964	-5.07430730408813e-4	10.976607246793062	-2.018126008181261	0.044834975235721726	0.08120169906539172	-5.290227606008248	Rtn4ip1	reticulon 4 interacting protein 1	ENSMUSG00000019864
Q9QYG0	-0.015791578273285936	-0.03034121127195753	-0.001241945274614343	11.78697412300385	-2.134531143776715	0.033482807455414106	0.06374376133107461	-5.294506810607579	Ndrg2	N-myc downstream regulated gene 2	ENSMUSG00000004558
P17751	-0.012677949446648523	-0.02421767723588103	-0.0011382216574160175	12.123054207504204	-2.160101563362075	0.03138374625572168	0.0606338632851582	-5.299586282388127	Tpi1	triosephosphate isomerase 1	ENSMUSG00000023456
Q99KR7	-0.026858073818793873	-0.05347602919634353	-2.4011844124421228e-4	13.993916978978687	-1.9897736870875877	0.0479882935126255	0.08552531671634396	-5.311694336638674	Ppif	peptidylprolyl isomerase F (cyclophilin F)	ENSMUSG00000021868
Q91VT4	-0.02675373451319274	-0.05353707174456736	2.960271818187865e-5	11.413759708286607	-1.9697444692134853	0.05025132196451205	0.08805248456337705	-5.312144343625573	Cbr4	carbonyl reductase 4	ENSMUSG00000031641
Q6A0A9	-0.018329999228843426	-0.03528835117344919	-0.0013716472842376648	11.396324558635737	-2.1258956637307564	0.03421654868824438	0.06474632639192006	-5.3193068671059205	Fam120a	family with sequence similarity 120, member A	ENSMUSG00000038014
Q922B2	-0.012521381559604717	-0.024056312795162325	-9.864503240471084e-4	11.968071448988933	-2.1347433360757817	0.03345583387999507	0.06374376133107461	-5.319763073747708	Dars	aspartyl-tRNA synthetase	ENSMUSG00000026356
Q8VCC1	0.020052291434978036	3.472807086101863e-4	0.03975730216134589	10.59075174035292	2.0045503536522005	0.04612742129600769	0.08296566108821636	-5.3225571340275915	Hpgd	hydroxyprostaglandin dehydrogenase 15 (NAD)	ENSMUSG00000031613
