Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|Q91XC8|DAP1_MOUSE	Q91XC8	DAP1_MOUSE	Dap	102	Mus musculus OX=10090	Death-associated protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	45	0	45	     0	     0	     0	12K(28.0313), 13K(28.0313), N-term(28.0313)		tr|A0A087WR57|A0A087WR57_MOUSE
sp|Q91XC9|PEX16_MOUSE	Q91XC9	PEX16_MOUSE	Pex16	336	Mus musculus OX=10090	Peroxisomal membrane protein PEX16 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	13	13	13	     0	     0	     0	23K(28.0313), N-term(28.0313)		
sp|Q91XD4|FTCD_MOUSE	Q91XD4	FTCD_MOUSE	Ftcd	541	Mus musculus OX=10090	Formimidoyltransferase-cyclodeaminase 	1:Experimental evidence at protein level	1.0000	0.9990	20	20	20	191	191	191	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 21K(28.0313), 23M(15.9949), 27M(15.9949), 2M(15.9949), 8K(28.0313), 8M(15.9949), 9K(28.0313), 9M(15.9949), N-term(28.0313)		
sp|Q91XD6|VPS36_MOUSE	Q91XD6	VPS36_MOUSE	Vps36	386	Mus musculus OX=10090	Vacuolar protein-sorting-associated protein 36 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	13	13	13	     0	     0	     0	11K(28.0313), 14K(28.0313), 15K(28.0313), N-term(28.0313)		
sp|Q91XE0|GLYAT_MOUSE	Q91XE0	GLYAT_MOUSE	Glyat	296	Mus musculus OX=10090	Glycine N-acyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	15	13	15	134	124	134	     0	     0	     0	10K(28.0313), 12M(15.9949), 14K(28.0313), 15K(28.0313), 16K(28.0313), 16M(15.9949), 17K(28.0313), 18K(28.0313), 1M(15.9949), 5M(15.9949), 7K(28.0313), 9K(28.0313), 9M(15.9949), N-term(28.0313)		
sp|Q91XE4|ACY3_MOUSE	Q91XE4	ACY3_MOUSE	Acy3	318	Mus musculus OX=10090	N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming) 	1:Experimental evidence at protein level	1.0000	0.9990	5	2	5	34	9	34	     0	     0	     0	19K(28.0313), 30K(28.0313), 7K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q91XE8|TM205_MOUSE	Q91XE8	TM205_MOUSE	Tmem205	189	Mus musculus OX=10090	Transmembrane protein 205 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	32	0	32	     0	     0	     0	7K(28.0313), 9K(28.0313), N-term(28.0313)		tr|A0A1L1SSA8|A0A1L1SSA8_MOUSE
sp|Q91XF0|PNPO_MOUSE	Q91XF0	PNPO_MOUSE	Pnpo	261	Mus musculus OX=10090	Pyridoxine-5'-phosphate oxidase 	1:Experimental evidence at protein level	1.0000	0.9990	7	6	7	109	79	109	     0	     0	     0	12M(15.9949), 14M(15.9949), 15K(28.0313), N-term(28.0313)		
sp|Q91XL9|OSBL1_MOUSE	Q91XL9	OSBL1_MOUSE	Osbpl1a	950	Mus musculus OX=10090	Oxysterol-binding protein-related protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	17	0	17	     0	     0	     0	13K(28.0313), 14K(28.0313), 15K(28.0313), 2M(15.9949), N-term(28.0313)		tr|A0A3Q4EG54|A0A3Q4EG54_MOUSE, tr|A0A3Q4EI24|A0A3Q4EI24_MOUSE, tr|Q3V156|Q3V156_MOUSE
sp|Q91XT4|SC16B_MOUSE	Q91XT4	SC16B_MOUSE	Sec16b	1051	Mus musculus OX=10090	Protein transport protein Sec16B 	1:Experimental evidence at protein level	1.0000	0.9990	7	4	7	28	17	28	     0	     0	     0	10K(28.0313), 12K(28.0313), 15K(28.0313), 5M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|Q91XU0|WRIP1_MOUSE	Q91XU0	WRIP1_MOUSE	Wrnip1	660	Mus musculus OX=10090	ATPase WRNIP1 	1:Experimental evidence at protein level	1.0000	0.9989	3	3	3	10	10	10	     0	     0	     0	12K(28.0313), N-term(28.0313)		
sp|Q91XU3|PI42C_MOUSE	Q91XU3	PI42C_MOUSE	Pip4k2c	421	Mus musculus OX=10090	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0	17K(28.0313), N-term(28.0313)		
sp|Q91XV3|BASP1_MOUSE	Q91XV3	BASP1_MOUSE	Basp1	226	Mus musculus OX=10090	Brain acid soluble protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	18	18	18	     0	     0	     0	14K(28.0313), 23K(28.0313), 30K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|Q91Y97|ALDOB_MOUSE	Q91Y97	ALDOB_MOUSE	Aldob	364	Mus musculus OX=10090	Fructose-bisphosphate aldolase B 	1:Experimental evidence at protein level	1.0000	0.9990	19	17	19	667	651	667	     0	     0	     0	12K(28.0313), 12M(15.9949), 13K(28.0313), 15K(28.0313), 1K(28.0313), 27K(28.0313), 7K(28.0313), 7M(15.9949), 8K(28.0313), 8M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|Q91YE6|IPO9_MOUSE	Q91YE6	IPO9_MOUSE	Ipo9	1041	Mus musculus OX=10090	Importin-9 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	18	0	18	     0	     0	     0	18K(28.0313), 7M(15.9949), 9K(28.0313), N-term(28.0313)		tr|E9QKZ2|E9QKZ2_MOUSE
sp|Q91YH5|ATLA3_MOUSE	Q91YH5	ATLA3_MOUSE	Atl3	541	Mus musculus OX=10090	Atlastin-3 	1:Experimental evidence at protein level	1.0000	0.9990	12	0	12	53	0	53	     0	     0	     0	10K(28.0313), 11K(28.0313), 19K(28.0313), 20K(28.0313), 7K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q91YI0|ARLY_MOUSE	Q91YI0	ARLY_MOUSE	Asl	464	Mus musculus OX=10090	Argininosuccinate lyase 	1:Experimental evidence at protein level	1.0000	0.9990	20	0	20	417	0	417	     0	     0	     0	11K(28.0313), 12K(28.0313), 13M(15.9949), 18M(15.9949), 1M(15.9949), 21K(28.0313), 3M(15.9949), 4M(15.9949), 6M(15.9949), 7M(15.9949), 8K(28.0313), 9K(28.0313), 9M(15.9949), N-term(28.0313)		
sp|Q91YJ2|SNX4_MOUSE	Q91YJ2	SNX4_MOUSE	Snx4	450	Mus musculus OX=10090	Sorting nexin-4 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	3	2	3	     0	     0	     0	14K(28.0313), N-term(28.0313)		
sp|Q91YJ5|IF2M_MOUSE	Q91YJ5	IF2M_MOUSE	Mtif2	727	Mus musculus OX=10090	Translation initiation factor IF-2, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9977	2	1	2	4	1	4	     0	     0	     0	10K(28.0313), 18K(28.0313), N-term(28.0313)		
sp|Q91YM2|RHG35_MOUSE	Q91YM2	RHG35_MOUSE	Arhgap35	1499	Mus musculus OX=10090	Rho GTPase-activating protein 35 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	13K(28.0313), N-term(28.0313)		
sp|Q91YM4|FAKD4_MOUSE	Q91YM4	FAKD4_MOUSE	Tbrg4	630	Mus musculus OX=10090	FAST kinase domain-containing protein 4 	1:Experimental evidence at protein level	1.0000	0.9987	4	1	4	7	1	7	     0	     0	     0	19K(28.0313), N-term(28.0313)		
sp|Q91YP0|L2HDH_MOUSE	Q91YP0	L2HDH_MOUSE	L2hgdh	464	Mus musculus OX=10090	L-2-hydroxyglutarate dehydrogenase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	43	43	43	     0	     0	     0	10K(28.0313), 1M(15.9949), 7K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|Q91YP2|NEUL_MOUSE	Q91YP2	NEUL_MOUSE	Nln	704	Mus musculus OX=10090	Neurolysin, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	7	0	7	17	0	17	     0	     0	     0	12K(28.0313), 13K(28.0313), 15K(28.0313), 19K(28.0313), 9K(28.0313), N-term(28.0313)		tr|A0A286YD12|A0A286YD12_MOUSE
sp|Q91YP3|DEOC_MOUSE	Q91YP3	DEOC_MOUSE	Dera	318	Mus musculus OX=10090	Deoxyribose-phosphate aldolase 	1:Experimental evidence at protein level	1.0000	0.9990	9	0	9	35	0	35	     0	     0	     0	10K(28.0313), 11K(28.0313), 16K(28.0313), 9K(28.0313), 9M(15.9949), N-term(28.0313)		
sp|Q91YQ5|RPN1_MOUSE	Q91YQ5	RPN1_MOUSE	Rpn1	608	Mus musculus OX=10090	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	23	20	23	243	190	243	     0	     0	     0	10K(28.0313), 11K(28.0313), 17K(28.0313), 18K(28.0313), 25K(28.0313), 7K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|Q91YR1|TWF1_MOUSE	Q91YR1	TWF1_MOUSE	Twf1	350	Mus musculus OX=10090	Twinfilin-1 	1:Experimental evidence at protein level	1.0000	0.9990	10	8	10	46	39	46	     0	     0	     0	13K(28.0313), 21K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q91YR7|PRP6_MOUSE	Q91YR7	PRP6_MOUSE	Prpf6	941	Mus musculus OX=10090	Pre-mRNA-processing factor 6 	1:Experimental evidence at protein level	1.0000	0.9990	5	4	5	15	14	15	     0	     0	     0	10M(15.9949), 11K(28.0313), 12K(28.0313), 14K(28.0313), N-term(28.0313)		
sp|Q91YT0|NDUV1_MOUSE	Q91YT0	NDUV1_MOUSE	Ndufv1	464	Mus musculus OX=10090	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	9	0	9	57	0	57	     0	     0	     0	10K(28.0313), 15K(28.0313), 27K(28.0313), 8K(28.0313), 9M(15.9949), N-term(28.0313)		tr|D3YUM1|D3YUM1_MOUSE
sp|Q91YW3|DNJC3_MOUSE	Q91YW3	DNJC3_MOUSE	Dnajc3	504	Mus musculus OX=10090	DnaJ homolog subfamily C member 3 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	44	44	44	     0	     0	     0	16K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q91YX5|LGAT1_MOUSE	Q91YX5	LGAT1_MOUSE	Lpgat1	370	Mus musculus OX=10090	Acyl-CoA:lysophosphatidylglycerol acyltransferase 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	10	0	10	     0	     0	     0	9K(28.0313), N-term(28.0313)		tr|E9QL80|E9QL80_MOUSE
sp|Q91Z40|GBP7_MOUSE	Q91Z40	GBP7_MOUSE	Gbp7	638	Mus musculus OX=10090	Guanylate-binding protein 7 	1:Experimental evidence at protein level	1.0000	0.9990	5	4	5	12	9	12	     0	     0	     0	14K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q91Z53|GRHPR_MOUSE	Q91Z53	GRHPR_MOUSE	Grhpr	328	Mus musculus OX=10090	Glyoxylate reductase/hydroxypyruvate reductase 	1:Experimental evidence at protein level	1.0000	0.9990	9	2	9	66	18	66	     0	     0	     0	10K(28.0313), 18K(28.0313), 41K(28.0313), 4M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|Q91ZA3|PCCA_MOUSE	Q91ZA3	PCCA_MOUSE	Pcca	724	Mus musculus OX=10090	Propionyl-CoA carboxylase alpha chain, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	23	11	23	182	96	182	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 13K(28.0313), 15K(28.0313), 16K(28.0313), 19M(15.9949), 22K(28.0313), 3M(15.9949), 5M(15.9949), 6M(15.9949), 7M(15.9949), 8K(28.0313), 9K(28.0313), 9M(15.9949), N-term(28.0313)		
sp|Q91ZE0|TMLH_MOUSE	Q91ZE0	TMLH_MOUSE	Tmlhe	421	Mus musculus OX=10090	Trimethyllysine dioxygenase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	12	12	12	     0	     0	     0	8K(28.0313), N-term(28.0313)		
sp|Q91ZJ5|UGPA_MOUSE	Q91ZJ5	UGPA_MOUSE	Ugp2	508	Mus musculus OX=10090	UTP--glucose-1-phosphate uridylyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	23	23	23	187	187	187	     0	     0	     0	10K(28.0313), 11M(15.9949), 12K(28.0313), 14K(28.0313), 15K(28.0313), 16K(28.0313), 18K(28.0313), 20K(28.0313), 21K(28.0313), 23K(28.0313), 25K(28.0313), 2M(15.9949), 7K(28.0313), 8K(28.0313), 9K(28.0313), 9M(15.9949), N-term(28.0313)		
sp|Q91ZR1|RAB4B_MOUSE	Q91ZR1	RAB4B_MOUSE	Rab4b	213	Mus musculus OX=10090	Ras-related protein Rab-4B 	1:Experimental evidence at protein level	1.0000	0.9971	2	2	2	7	7	7	     0	     0	     0	N-term(28.0313)		
sp|Q91ZV0|MIA2_MOUSE	Q91ZV0	MIA2_MOUSE	Mia2	1396	Mus musculus OX=10090	Melanoma inhibitory activity protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	18	0	18	66	0	66	     0	     0	     0	10M(15.9949), 11M(15.9949), 12K(28.0313), 14K(28.0313), 14M(15.9949), 15K(28.0313), 17K(28.0313), 18K(28.0313), 1M(15.9949), 9K(28.0313), N-term(28.0313)		tr|A0A1W2P711|A0A1W2P711_MOUSE
sp|Q91ZW3|SMCA5_MOUSE	Q91ZW3	SMCA5_MOUSE	Smarca5	1051	Mus musculus OX=10090	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 	1:Experimental evidence at protein level	1.0000	0.9990	7	6	7	30	29	30	     0	     0	     0	12K(28.0313), 14K(28.0313), 15K(28.0313), N-term(28.0313)		
sp|Q91ZX7|LRP1_MOUSE	Q91ZX7	LRP1_MOUSE	Lrp1	4545	Mus musculus OX=10090	Prolow-density lipoprotein receptor-related protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	36	0	36	139	0	139	     0	     0	     0	10K(28.0313), 13K(28.0313), 14K(28.0313), 16K(28.0313), 1M(15.9949), 3M(15.9949), 6M(15.9949), 8M(15.9949), 9K(28.0313), N-term(28.0313)		tr|A0A0R4J0I9|A0A0R4J0I9_MOUSE
sp|Q920A5|RISC_MOUSE	Q920A5	RISC_MOUSE	Scpep1	452	Mus musculus OX=10090	Retinoid-inducible serine carboxypeptidase 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	29	29	29	     0	     0	     0	13K(28.0313), 14K(28.0313), 17K(28.0313), 8K(28.0313), 9K(28.0313), 9M(15.9949), N-term(28.0313)		
sp|Q920A7|AFG31_MOUSE	Q920A7	AFG31_MOUSE	Afg3l1	789	Mus musculus OX=10090	AFG3-like protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	12	12	12	     0	     0	     0	8K(28.0313), N-term(28.0313)		
sp|Q920B9|SP16H_MOUSE	Q920B9	SP16H_MOUSE	Supt16h	1047	Mus musculus OX=10090	FACT complex subunit SPT16 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	20	0	20	     0	     0	     0	11K(28.0313), 15K(28.0313), N-term(28.0313)		tr|G3X956|G3X956_MOUSE
sp|Q920E5|FPPS_MOUSE	Q920E5	FPPS_MOUSE	Fdps	353	Mus musculus OX=10090	Farnesyl pyrophosphate synthase 	1:Experimental evidence at protein level	1.0000	0.9990	10	0	10	110	0	110	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 14K(28.0313), 15K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q920L1|FADS1_MOUSE	Q920L1	FADS1_MOUSE	Fads1	447	Mus musculus OX=10090	Acyl-CoA (8-3)-desaturase 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	27	0	27	     0	     0	     0	15K(28.0313), 21K(28.0313), 6M(15.9949), N-term(28.0313)		
sp|Q920Q6|MSI2H_MOUSE	Q920Q6	MSI2H_MOUSE	Msi2	346	Mus musculus OX=10090	RNA-binding protein Musashi homolog 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	3	7	3	7	     0	     0	     0	12K(28.0313), 15K(28.0313), N-term(28.0313)		
sp|Q920R0|ALS2_MOUSE	Q920R0	ALS2_MOUSE	Als2	1651	Mus musculus OX=10090	Alsin 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	13	13	13	     0	     0	     0	14K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|Q921F2|TADBP_MOUSE	Q921F2	TADBP_MOUSE	Tardbp	414	Mus musculus OX=10090	TAR DNA-binding protein 43 	1:Experimental evidence at protein level	1.0000	0.9990	8	0	8	47	0	47	     0	     0	     0	11K(28.0313), 12K(28.0313), 1M(15.9949), 24K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q921F4|HNRLL_MOUSE	Q921F4	HNRLL_MOUSE	Hnrnpll	591	Mus musculus OX=10090	Heterogeneous nuclear ribonucleoprotein L-like 	1:Experimental evidence at protein level	1.0000	0.9990	9	4	9	34	18	34	     0	     0	     0	10K(28.0313), 10M(15.9949), 13K(28.0313), 15K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q921G7|ETFD_MOUSE	Q921G7	ETFD_MOUSE	Etfdh	616	Mus musculus OX=10090	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	20	1	20	178	4	178	     0	     0	     0	10K(28.0313), 11K(28.0313), 11M(15.9949), 12K(28.0313), 14K(28.0313), 2M(15.9949), 6M(15.9949), 7K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q921H8|THIKA_MOUSE	Q921H8	THIKA_MOUSE	Acaa1a	424	Mus musculus OX=10090	3-ketoacyl-CoA thiolase A, peroxisomal 	1:Experimental evidence at protein level	1.0000	0.9990	14	0	14	233	0	233	     0	     0	     0	10K(28.0313), 11K(28.0313), 14K(28.0313), 16M(15.9949), 21K(28.0313), 23M(15.9949), 2K(28.0313), 7K(28.0313), N-term(28.0313)		
sp|Q921I1|TRFE_MOUSE	Q921I1	TRFE_MOUSE	Tf	697	Mus musculus OX=10090	Serotransferrin 	1:Experimental evidence at protein level	1.0000	0.9990	26	8	26	232	60	232	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 13M(15.9949), 15K(28.0313), 18K(28.0313), 1K(28.0313), 21K(28.0313), 23K(28.0313), 7K(28.0313), 7M(15.9949), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q921J2|RHEB_MOUSE	Q921J2	RHEB_MOUSE	Rheb	184	Mus musculus OX=10090	GTP-binding protein Rheb 	1:Experimental evidence at protein level	1.0000	0.9939	2	2	2	3	3	3	     0	     0	     0	10K(28.0313), 11K(28.0313), 6M(15.9949), N-term(28.0313)		
sp|Q921L3|TMCO1_MOUSE	Q921L3	TMCO1_MOUSE	Tmco1	188	Mus musculus OX=10090	Calcium load-activated calcium channel 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	15	0	15	     0	     0	     0	14K(28.0313), N-term(28.0313)		tr|A0A0A6YVS2|A0A0A6YVS2_MOUSE
sp|Q921M3|SF3B3_MOUSE	Q921M3	SF3B3_MOUSE	Sf3b3	1217	Mus musculus OX=10090	Splicing factor 3B subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	20	20	20	     0	     0	     0	11K(28.0313), 17K(28.0313), 18K(28.0313), N-term(28.0313)		
sp|Q921M4|GOGA2_MOUSE	Q921M4	GOGA2_MOUSE	Golga2	999	Mus musculus OX=10090	Golgin subfamily A member 2 	1:Experimental evidence at protein level	1.0000	0.9990	9	0	9	32	0	32	     0	     0	     0	12K(28.0313), 15K(28.0313), 16K(28.0313), 19K(28.0313), 20K(28.0313), 8K(28.0313), N-term(28.0313)		tr|A0A6I8MWY5|A0A6I8MWY5_MOUSE, tr|A0A6I8MX07|A0A6I8MX07_MOUSE, tr|E9PUQ5|E9PUQ5_MOUSE, tr|Z4YJU8|Z4YJU8_MOUSE
sp|Q921M7|CYRIB_MOUSE	Q921M7	CYRIB_MOUSE	Cyrib	324	Mus musculus OX=10090	CYFIP-related Rac1 interactor B 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	11	0	11	     0	     0	     0	10K(28.0313), N-term(28.0313)		tr|A0A2I3BRN5|A0A2I3BRN5_MOUSE
sp|Q921S7|RM37_MOUSE	Q921S7	RM37_MOUSE	Mrpl37	423	Mus musculus OX=10090	39S ribosomal protein L37, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	26	26	26	     0	     0	     0	11K(28.0313), 15K(28.0313), N-term(28.0313)		
sp|Q921T2|TOIP1_MOUSE	Q921T2	TOIP1_MOUSE	Tor1aip1	595	Mus musculus OX=10090	Torsin-1A-interacting protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	17	0	17	     0	     0	     0	12K(28.0313), 17K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|Q921X9|PDIA5_MOUSE	Q921X9	PDIA5_MOUSE	Pdia5	517	Mus musculus OX=10090	Protein disulfide-isomerase A5 	1:Experimental evidence at protein level	1.0000	0.9990	13	13	13	82	82	82	     0	     0	     0	10K(28.0313), 12K(28.0313), 13K(28.0313), 13M(15.9949), 19K(28.0313), 1M(15.9949), 20K(28.0313), 2K(28.0313), 34K(28.0313), 8M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|Q922B1|MACD1_MOUSE	Q922B1	MACD1_MOUSE	Macrod1	323	Mus musculus OX=10090	ADP-ribose glycohydrolase MACROD1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	8	8	8	     0	     0	     0	10K(28.0313), N-term(28.0313)		
sp|Q922B2|SYDC_MOUSE	Q922B2	SYDC_MOUSE	Dars1	501	Mus musculus OX=10090	Aspartate--tRNA ligase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	20	17	20	146	125	146	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 13K(28.0313), 15K(28.0313), 18K(28.0313), 19K(28.0313), 3M(15.9949), 6M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|Q922D4|PP6R3_MOUSE	Q922D4	PP6R3_MOUSE	Ppp6r3	844	Mus musculus OX=10090	Serine/threonine-protein phosphatase 6 regulatory subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	11	0	11	37	0	37	     0	     0	     0	10K(28.0313), 12K(28.0313), 13K(28.0313), 14K(28.0313), 8K(28.0313), 9M(15.9949), N-term(28.0313)		tr|G5E8R4|G5E8R4_MOUSE
sp|Q922D8|C1TC_MOUSE	Q922D8	C1TC_MOUSE	Mthfd1	935	Mus musculus OX=10090	C-1-tetrahydrofolate synthase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	26	5	26	246	48	246	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 13M(15.9949), 14K(28.0313), 15K(28.0313), 16K(28.0313), 1M(15.9949), 20M(15.9949), 22K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q922E4|PCY2_MOUSE	Q922E4	PCY2_MOUSE	Pcyt2	404	Mus musculus OX=10090	Ethanolamine-phosphate cytidylyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	11	0	11	54	0	54	     0	     0	     0	10K(28.0313), 12K(28.0313), 18K(28.0313), 22K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		tr|A2ABY3|A2ABY3_MOUSE
sp|Q922F4|TBB6_MOUSE	Q922F4	TBB6_MOUSE	Tubb6	447	Mus musculus OX=10090	Tubulin beta-6 chain 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0	17K(28.0313), N-term(28.0313)		
sp|Q922H4|GMPPA_MOUSE	Q922H4	GMPPA_MOUSE	Gmppa	420	Mus musculus OX=10090	Mannose-1-phosphate guanyltransferase alpha 	1:Experimental evidence at protein level	1.0000	0.9990	5	3	5	17	9	17	     0	     0	     0	10K(28.0313), 16K(28.0313), N-term(28.0313)		
sp|Q922H9|ZN330_MOUSE	Q922H9	ZN330_MOUSE	Znf330	316	Mus musculus OX=10090	Zinc finger protein 330 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	11	11	11	     0	     0	     0	17K(28.0313), N-term(28.0313)		
sp|Q922P9|GLYR1_MOUSE	Q922P9	GLYR1_MOUSE	Glyr1	546	Mus musculus OX=10090	Putative oxidoreductase GLYR1 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	14	0	14	     0	     0	     0	16K(28.0313), 9M(15.9949), N-term(28.0313)		tr|D3YYT1|D3YYT1_MOUSE
sp|Q922Q1|MARC2_MOUSE	Q922Q1	MARC2_MOUSE	Mtarc2	338	Mus musculus OX=10090	Mitochondrial amidoxime reducing component 2 	1:Experimental evidence at protein level	1.0000	0.9990	8	4	8	81	43	81	     0	     0	     0	10K(28.0313), 11M(15.9949), 12M(15.9949), 17K(28.0313), 1K(28.0313), 5M(15.9949), 7K(28.0313), 8K(28.0313), 8M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|Q922Q8|LRC59_MOUSE	Q922Q8	LRC59_MOUSE	Lrrc59	307	Mus musculus OX=10090	Leucine-rich repeat-containing protein 59 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	55	55	55	     0	     0	     0	10K(28.0313), 12K(28.0313), 19K(28.0313), N-term(28.0313)		
sp|Q922Q9|CHID1_MOUSE	Q922Q9	CHID1_MOUSE	Chid1	393	Mus musculus OX=10090	Chitinase domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	11	0	11	     0	     0	     0	14K(28.0313), 15K(28.0313), N-term(28.0313)		tr|A0A0R4J058|A0A0R4J058_MOUSE, tr|A0A0R4J242|A0A0R4J242_MOUSE
sp|Q922U1|PRPF3_MOUSE	Q922U1	PRPF3_MOUSE	Prpf3	683	Mus musculus OX=10090	U4/U6 small nuclear ribonucleoprotein Prp3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	5	5	5	     0	     0	     0	11K(28.0313), 12K(28.0313), N-term(28.0313)		
sp|Q922V4|PLRG1_MOUSE	Q922V4	PLRG1_MOUSE	Plrg1	513	Mus musculus OX=10090	Pleiotropic regulator 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	9	0	9	     0	     0	     0	12K(28.0313), 15K(28.0313), 20K(28.0313), N-term(28.0313)		tr|D3Z4V1|D3Z4V1_MOUSE
sp|Q922Y1|UBXN1_MOUSE	Q922Y1	UBXN1_MOUSE	Ubxn1	297	Mus musculus OX=10090	UBX domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	39	0	39	     0	     0	     0	26K(28.0313), N-term(28.0313)		tr|A0A498WFS2|A0A498WFS2_MOUSE
